order_item_id,order_id,menu_item_id,quantity,unit_price_inr,discount_amount_inr,line_total_inr
267,16298,42,2,164.52,76.31,252.73
268,12918,58,2,779.16,295.45,1262.87
269,13212,216,2,278.17,118.46,437.88
270,25698,225,5,643.53,197.09,3020.56
271,2349,85,1,755.19,180.21,574.98
272,9228,223,1,656.23,22.16,634.07
273,10548,74,1,680.44,0.76,679.68
274,421,122,6,120.43,177.65,544.93
275,5919,80,6,288.91,33.55,1699.91
276,8893,168,5,791.22,807.71,3148.39
277,27121,171,6,577.5,159.44,3305.56
278,30671,90,4,463.5,255.06,1598.94
279,3005,228,5,453.94,22.14,2247.56
280,13920,108,2,759.08,283.47,1234.69
281,18095,33,2,160.45,9.95,310.95
282,3519,198,2,930.93,210.98,1650.88
283,16857,131,6,509.49,460.59,2596.35
284,24579,94,3,942.52,263.57,2563.99
285,999999,99999,-2,618.51,298.76,5327.61
286,27406,13,4,637.46,396.15,2153.69
287,31082,78,6,147.48,37.12,847.76
288,4994,28,4,370.63,258.3,1224.22
289,12831,174,4,492.77,360.85,1610.23
290,29120,120,6,829.71,715.22,4263.04
291,6831,57,1,359.12,27.4,331.72
292,4552,144,5,109.15,96.94,448.81
293,16295,63,6,561.66,161.94,3208.02
294,12778,216,6,805.91,666.59,4168.87
295,999999,99999,-6,939.76,28.4,18495.86
296,11645,133,4,281.28,96.08,1029.04
297,5717,43,4,639.19,494.78,2061.98
298,31919,54,6,257.75,46.4,1500.1
299,24832,122,6,882.03,969.39,4322.79
300,4318,172,2,838.99,218.77,1459.21
301,19436,50,1,355.39,79.64,275.75
302,992,165,3,839.87,353.54,2166.07
303,5158,103,2,286.5,135.72,437.28
304,7422,221,1,811.93,121.76,690.17
305,5788,169,5,265.46,14.1,1313.2
306,19313,215,5,100.53,121.78,380.87
307,10045,86,1,653.29,39.85,613.44
308,27509,93,5,92.34,30.69,431.01
309,1490,8,4,719.13,455.84,2420.68
310,3588,129,6,609.76,392.39,3266.17
311,23650,110,5,108.66,121.28,422.02
312,4287,169,2,365.86,17.96,713.76
313,24524,77,5,598.99,291.52,2703.43
314,10325,139,2,314.46,26.07,602.85
315,23810,21,1,869.75,113.62,756.13
316,20336,103,6,231.65,23.48,1366.42
317,4094,12,3,221.72,1.44,663.72
318,31162,144,2,754.33,185.76,1322.9
319,5958,158,1,566.95,12.22,554.73
320,4961,72,2,644.01,126.57,1161.45
321,1316,184,3,382.94,105.42,1043.4
322,23170,178,5,864.13,836.96,3483.69
323,407,45,1,488.26,38.56,449.7
324,11565,186,6,545.27,49.02,3222.6
325,19418,59,5,893.98,1026.36,3443.54
326,3087,184,5,116.52,39.33,543.27
327,9096,143,4,261.46,242.51,803.33
328,25708,188,4,89.3,77.79,279.41
329,11659,228,2,805.82,392.98,1218.66
330,30781,104,4,68.85,67.67,207.73
331,30514,73,6,466.77,,2450.52
332,24912,202,6,544.46,466.49,2800.27
333,1104,108,2,410.99,56.97,765.01
334,11837,237,3,811.85,54.39,2381.16
335,8000,125,1,138.56,27.81,110.75
336,24350,77,1,384.87,39.53,345.34
337,3291,29,6,768.11,855.61,3753.05
338,28120,204,2,803.83,225.53,1382.13
339,9671,192,2,238.28,19.79,456.77
340,23631,42,2,947.68,307.56,1587.8
341,17288,221,2,352.52,46.42,658.62
342,30527,100,5,602.9,323.32,2691.18
343,27979,223,6,918.54,489.02,5022.22
344,21883,117,3,524.86,184.59,1389.99
345,999999,99999,-2,813.83,141.33,8093.99
346,2816,2,6,723.04,96.72,4241.52
347,30959,152,3,132.26,69.01,327.77
348,532,1,3,114.33,75.22,267.77
349,1817,76,3,594.79,388.76,1395.61
350,7482,72,1,336.83,36.07,300.76
351,138,115,5,377.7,25.69,1862.81
352,8033,161,5,619.03,70.97,3024.18
353,28630,188,5,862.17,894.35,3416.5
354,22533,202,3,885.01,277.59,2377.44
355,12357,138,2,380.21,111.57,648.85
356,9195,110,6,423.6,398.92,2142.68
357,28124,18,1,233.53,31.6,201.93
358,15757,81,5,459.61,248.66,2049.39
359,26882,15,4,100.4,93.77,307.83
360,15610,136,2,904.1,195.59,1612.61
361,27460,37,5,634.24,465.61,2705.59
362,1902,167,2,683.75,91.05,1276.45
363,6189,221,1,392.68,,391.08
364,27783,226,3,937.2,531.41,2280.19
365,22293,221,5,510.98,479.37,2075.53
366,3589,134,1,575.7,72.87,502.83
367,574,33,6,937.71,715.07,4911.19
368,21387,40,4,438.3,157.76,1595.44
369,11401,70,2,246.01,50.97,441.05
370,31121,158,5,737.57,741.73,2946.12
371,7221,218,2,248.94,88.69,409.19
372,6552,127,4,828.79,,2602.98
373,11060,173,3,158.56,92.22,383.46
374,4765,12,1,204.71,8.89,195.82
375,24634,165,2,644.78,55.59,1233.97
376,20619,87,3,135.5,88.02,318.48
377,28640,60,3,192.26,92.81,483.97
378,18439,25,3,458.81,262.18,1114.25
379,4215,131,2,908.96,13.82,1804.1
380,580,124,2,544.41,56.46,1032.36
381,6401,74,2,893.44,383.79,1403.09
382,922,118,5,537.49,52.44,2635.01
383,10225,225,1,909.41,181.82,727.59
384,26228,199,1,319.99,,305.68
385,6992,146,5,566.97,36.38,2798.47
386,24431,50,5,872.95,985.6,3379.15
387,7553,111,4,117.08,105.56,362.76
388,11927,220,2,468.8,62.64,874.96
389,9590,220,1,632.22,27.41,604.81
390,22253,206,3,515.09,192.39,1352.88
391,5522,208,4,61.93,58.62,189.1
392,25108,89,3,718.45,277.62,1877.73
393,25299,86,1,127.96,12.76,115.2
394,22117,73,2,941.53,335.1,1547.96
395,20001,229,2,754.87,305.97,1203.77
396,15756,41,4,547.51,495.26,1694.78
397,26346,62,3,913.0,490.84,2248.16
398,8050,219,5,430.19,233.41,1917.54
399,23054,9,3,532.68,163.1,1434.94
400,16055,36,5,436.98,328.97,1855.93
401,12789,163,3,502.62,327.47,1180.39
402,6698,36,2,947.64,232.31,1662.97
403,27569,237,6,784.97,692.92,4016.9
404,21318,36,2,652.56,70.31,1234.81
405,19250,208,2,321.45,21.61,621.29
406,31537,95,3,577.8,237.74,1495.66
407,26256,53,-4,300.06,218.92,3430.61
408,31225,107,6,241.05,203.81,1242.49
409,25862,49,1,419.62,9.2,410.42
410,30846,82,1,193.77,39.17,154.6
411,30655,114,4,346.64,245.25,1141.31
412,20466,60,3,446.36,64.42,1274.66
413,29905,50,4,121.89,95.38,392.18
414,21899,209,5,714.65,365.8,3207.45
415,14908,213,2,767.85,373.76,1161.94
416,16122,233,6,99.93,52.26,547.32
417,16971,16,5,269.69,83.74,1264.71
418,29169,155,5,314.81,15.43,1558.62
419,27340,165,3,180.53,69.7,471.89
420,12980,135,2,641.51,12.65,1270.37
421,31823,35,5,636.35,637.94,2543.81
422,4354,15,6,383.68,558.55,1743.53
423,14338,99,3,401.26,130.22,1073.56
424,9503,4,4,377.42,137.1,1372.58
425,14902,207,3,294.69,110.45,773.62
426,15715,132,2,874.91,216.17,1533.65
427,600,62,1,329.58,82.05,247.53
428,6747,230,1,889.0,103.4,785.6
429,15674,228,2,64.27,3.44,125.1
430,22174,67,1,376.64,92.16,284.48
431,21262,55,4,675.51,547.61,2154.43
432,6960,39,1,446.81,41.89,404.92
433,23073,94,2,247.15,48.55,445.75
434,30781,23,6,409.15,454.59,2000.31
435,26592,30,3,226.31,79.07,599.86
436,999999,99999,-4,486.97,115.23,6826.45
437,6540,206,6,631.52,305.01,3484.11
438,1516,107,4,280.13,208.44,912.08
439,3829,155,4,418.2,165.46,1507.34
440,20821,181,6,179.09,13.95,1060.59
441,1900,209,1,944.69,224.22,720.47
442,19825,207,1,433.94,74.97,358.97
443,6227,1,5,263.8,194.65,1124.35
444,999999,99999,-4,788.51,209.64,16613.12
445,24635,52,4,603.8,377.97,2037.23
446,21756,71,5,773.53,194.23,3673.42
447,16410,123,3,432.2,149.29,1147.31
448,22940,5,2,509.96,4.14,1015.78
449,25996,60,6,594.62,618.64,2949.08
450,6495,22,1,461.58,61.57,400.01
451,19132,24,3,622.66,231.64,1636.34
452,18581,183,5,225.24,131.78,994.42
453,6300,231,6,656.61,735.59,3204.07
454,16018,183,6,642.41,631.24,3223.22
455,19787,49,2,828.88,,1519.58
456,7991,51,4,935.89,173.53,3570.03
457,25499,165,4,292.36,73.66,1095.78
458,18473,75,5,554.59,581.39,2191.56
459,2889,93,2,844.06,53.64,1634.48
460,13232,208,5,206.37,85.19,946.66
461,20477,42,5,74.24,24.92,346.28
462,21788,156,3,328.21,149.34,835.29
463,21349,220,2,412.45,15.57,809.33
464,25114,2,2,818.97,330.09,1307.85
465,1001,232,5,309.38,219.89,1327.01
466,15596,57,6,626.22,392.53,3364.79
467,17223,72,3,333.9,139.53,862.17
468,22592,88,3,583.48,139.43,1611.01
469,15300,2,1,606.74,137.44,469.3
470,12182,58,2,146.84,6.08,287.6
471,23523,56,3,853.12,21.58,2537.78
472,23492,52,6,135.34,177.82,634.22
473,7445,162,3,79.58,54.98,183.76
474,9578,17,5,608.86,278.41,2765.89
475,29272,181,4,89.06,42.9,313.34
476,9432,42,5,466.57,,2183.04
477,20054,139,4,349.53,308.02,1090.1
478,4360,168,3,165.82,105.43,392.03
479,11803,121,6,832.66,357.81,4638.15
480,29412,88,3,766.71,432.42,1867.71
481,25722,172,5,696.0,83.2,3396.8
482,58,157,5,273.51,170.26,1197.29
483,6097,51,2,704.19,73.67,1334.71
484,16026,87,5,710.33,361.79,3189.86
485,30919,208,2,665.4,30.29,1300.51
486,17192,108,5,829.64,471.42,3676.78
487,25540,139,4,375.71,271.32,1231.52
488,15997,225,6,508.8,327.8,2725.0
489,11232,170,6,520.74,702.08,2422.36
490,30294,182,2,134.61,26.21,243.01
491,3151,51,5,613.28,569.01,2497.39
492,16013,74,1,249.48,3.06,246.42
493,12692,210,4,162.95,79.73,572.07
494,14047,127,1,172.25,41.64,130.61
495,29776,34,6,621.34,693.1,3034.94
496,7023,154,1,60.59,3.74,56.85
497,24842,130,1,937.09,111.32,825.77
498,23470,234,5,268.13,312.37,1028.28
499,18804,48,6,650.06,408.8,3491.56
500,9093,214,3,117.54,5.16,347.46
501,26336,127,3,865.55,56.72,2539.93
502,22527,235,3,645.99,205.21,1732.76
503,18466,186,1,676.53,99.69,576.84
504,28584,226,1,433.74,33.74,400.0
505,999999,99999,-4,841.8,561.66,12374.57
506,7118,99,3,172.22,81.67,434.99
507,18529,86,2,451.55,211.27,691.83
508,60,194,5,531.87,141.41,2517.94
509,25104,162,2,230.36,9.68,451.04
510,20910,234,5,171.51,14.97,842.58
511,999999,99999,-1,529.89,68.25,2633.42
512,1009,209,1,150.87,15.37,135.5
513,27234,182,3,401.73,148.84,1056.35
514,20982,142,5,540.06,421.8,2278.5
515,14548,205,4,598.84,67.62,2327.74
516,2366,113,2,244.82,,482.12
517,3896,169,3,379.46,63.02,1075.36
518,20780,35,4,560.33,189.8,2051.52
519,5429,194,5,210.41,129.64,922.41
520,20021,176,4,447.35,42.09,1747.31
521,830,139,6,212.76,224.35,1052.21
522,999999,99999,-3,104.44,66.66,1401.76
523,28804,127,6,218.91,58.87,1254.59
524,20260,178,4,398.31,388.52,1204.72
525,6887,86,1,733.33,162.19,571.14
526,7046,141,3,435.68,136.4,1170.64
527,21965,180,3,290.84,175.91,696.61
528,25708,134,4,117.62,75.82,394.66
529,11922,107,3,715.39,185.3,1960.87
530,8899,130,6,461.35,371.86,2396.24
531,9894,36,6,71.67,21.67,408.35
532,25818,207,6,709.82,946.25,3312.67
533,10017,87,6,66.78,54.49,346.19
534,26764,211,3,178.91,67.82,468.91
535,10229,133,3,535.89,365.27,1242.4
536,18608,184,5,678.42,312.12,3079.98
537,31110,152,4,598.23,263.4,2129.52
538,9363,200,5,398.08,485.6,1504.8
539,27034,174,1,438.69,4.91,433.78
540,6122,116,1,652.64,59.22,593.42
541,7936,106,5,143.42,73.25,643.85
542,19508,28,5,942.16,217.0,4493.8
543,29429,21,4,601.94,476.01,1931.75
544,1893,70,2,614.81,183.76,1045.86
545,22516,45,1,561.74,35.09,526.65
546,26898,182,6,277.24,332.86,1330.58
547,7210,65,6,497.95,201.24,2786.46
548,18770,174,4,925.52,535.1,3166.98
549,3281,181,2,707.81,348.34,1067.28
550,5200,81,4,519.62,203.14,1875.34
551,16626,143,1,750.99,164.33,586.66
552,25368,37,1,187.18,35.05,152.13
553,22312,186,4,276.67,175.2,931.48
554,29679,29,3,855.14,271.47,2293.95
555,24656,113,5,161.36,116.46,690.34
556,13837,238,1,756.39,50.39,706.0
557,21143,80,3,109.08,21.6,305.64
558,6535,62,5,394.38,327.04,1644.86
559,8579,237,4,888.15,137.23,3415.37
560,26190,162,1,740.33,82.65,657.68
561,26724,211,4,620.9,326.76,2156.84
562,3399,179,5,677.56,813.07,2574.73
563,5215,82,6,453.61,64.66,2657.0
564,999999,99999,-1,309.62,52.1,980.66
565,6361,96,2,469.08,164.19,773.97
566,8862,202,6,323.21,418.82,1520.44
567,5760,20,4,751.87,272.33,2735.15
568,12358,162,5,709.88,744.04,2805.36
569,14132,74,2,898.92,46.22,1751.62
570,25469,141,6,719.2,785.7,3529.5
571,999999,99999,-2,911.88,369.33,4767.38
572,18720,235,3,424.27,287.19,985.62
573,26077,126,6,645.73,216.0,3658.38
574,22182,54,1,741.53,105.16,636.37
575,490,10,6,637.19,379.46,3443.68
576,21625,141,6,806.28,849.69,3987.99
577,31767,35,1,426.86,61.49,365.37
578,7750,87,2,629.13,184.79,1073.47
579,12838,159,5,422.82,270.22,1843.88
580,18188,91,2,107.59,30.87,184.31
581,3550,123,6,739.21,144.78,4290.48
582,11080,190,1,725.44,55.78,669.66
583,12862,175,3,317.76,153.28,800.0
584,30377,99,3,584.77,150.13,1604.18
585,22015,106,1,183.48,35.58,147.9
586,26219,223,3,192.04,33.07,543.05
587,16357,84,3,690.21,495.04,1575.59
588,20859,232,4,648.59,535.82,2058.54
589,6023,122,3,420.75,55.21,1207.04
590,22115,117,1,928.04,205.73,722.31
591,11410,14,2,802.14,65.11,1539.17
592,9100,69,3,374.77,209.39,914.92
593,6697,97,3,308.22,92.28,832.38
594,1551,73,3,875.34,136.19,2489.83
595,2823,124,3,472.09,225.09,1191.18
596,12178,239,3,94.83,26.07,258.42
597,5800,110,6,594.59,,3165.63
598,24336,88,4,606.86,165.86,2261.58
599,1475,29,1,96.35,7.48,88.87
600,24853,12,5,666.01,486.67,2843.38
601,27076,118,5,551.61,637.3,2120.75
602,5026,236,1,753.14,4.35,748.79
603,27571,7,4,276.47,197.71,908.17
604,27109,86,4,718.44,301.96,2571.8
605,3636,192,4,552.02,455.38,1752.7
606,4224,96,3,146.52,0.08,439.48
607,26128,87,4,656.85,27.23,2600.17
608,27652,224,1,508.35,116.77,391.58
609,10211,75,1,933.22,179.92,753.3
610,17123,50,2,341.8,27.13,656.47
611,9991,56,5,788.44,454.29,3487.91
612,1042,7,2,241.35,19.45,463.25
613,15839,133,3,919.91,92.21,2667.52
614,16858,19,3,175.04,76.44,448.68
615,999999,99999,-4,624.87,145.14,13008.01
616,999999,99999,-5,372.7,367.21,6967.58
617,5471,41,4,728.76,584.35,2330.69
618,18610,219,1,356.25,55.65,300.6
619,17709,101,3,729.14,497.02,1690.4
620,18786,72,2,667.01,216.22,1117.8
621,19160,62,2,801.23,384.39,1218.07
622,1112,36,1,488.91,59.85,429.06
623,16012,154,1,96.73,19.42,77.31
624,11340,166,6,210.79,83.13,1181.61
625,22127,205,4,354.2,117.63,1299.17
626,28481,185,4,921.14,58.34,3626.22
627,20961,238,6,464.5,445.4,2341.6
628,17163,11,4,891.27,680.84,2884.24
629,10748,63,2,699.71,200.13,1199.29
630,26348,209,2,758.37,55.04,1461.7
631,24509,8,4,832.54,236.5,3093.66
632,17809,207,2,272.69,108.29,437.09
633,14304,131,4,943.44,901.35,2872.41
634,22829,189,1,794.36,105.47,688.89
635,19157,19,1,941.3,189.29,752.01
636,31756,48,4,117.72,90.45,380.43
637,18206,217,5,922.2,914.85,3696.15
638,17271,181,3,933.81,319.39,2482.04
639,11728,89,2,766.68,,1184.58
640,18127,96,1,733.52,89.84,643.68
641,6676,98,5,441.53,349.39,1858.26
642,31331,39,6,902.27,1032.56,4381.06
643,14056,103,6,423.96,605.21,1938.55
644,27541,127,6,681.63,227.23,3862.55
645,21929,74,6,148.55,207.91,683.39
