menu_item_id,item_name,category_id,veg_type,cost_price_inr,selling_price_inr
156,Gulab Jamun,9,Veg,127.01,353.19
157,Gulab Jamun,9,Veg,398.47,746.24
158,Gulab Jamun,9,Veg,291.49,716.06
159,Gulab Jamun,9,Veg,41.7,90.23
160,Rasmalai,9,Veg,207.53,512.91
161,Rasmalai,9,Veg,175.05,427.29
162,Rasmalai,9,Veg,330.91,754.11
163,Rasmalai,9,Veg,284.07,532.14
164,Rasmalai,9,Veg,323.26,735.28
165,Chocolate Brownie,9,Veg,73.71,197.05
166,Chocolate Brownie,9,Non-Veg,81.99,229.97
167,Chocolate Brownie,9,Veg,,239.82
168,Chocolate Brownie,9,Veg,50.08,96.59
169,Ice Cream Sundae,9,Veg,106.58,307.0
170,Ice Cream Sundae,9,Veg,253.66,593.95
171,Ice Cream Sundae,9,Veg,108.14,262.8
172,Ice Cream Sundae,9,Veg,97.68,171.29
173,Ice Cream Sundae,9,Veg,27.12,67.14
174,Ice Cream Sundae,9,Veg,355.25,839.07
175,Kheer,9,Veg,445.75,823.43
176,Kheer,9,Veg,275.95,855.5
177,Kheer,9,Veg,342.84,631.87
178,Kheer,9,Veg,375.07,827.67
179,Kheer,9,Veg,-51.52,28.05
180,Kheer,9,Veg,204.4,669.21
181,Masala Chai,10,Veg,68.41,221.8
182,Masala Chai,10,Veg,250.08,567.42
183,Masala Chai,10,Veg,163.78,320.01
184,Cold Coffee,10,Veg,191.59,442.4
185,Cold Coffee,10,Veg,431.96,878.91
186,Cold Coffee,10,Veg,320.93,740.61
187,Cold Coffee,10,Veg,208.59,491.22
188,Fresh Lime Soda,10,Veg,263.62,664.1
189,Fresh Lime Soda,10,Veg,251.36,583.89
190,Fresh Lime Soda,10,Non-Veg,78.63,242.85
191,Mango Lassi,10,Veg,231.32,426.27
192,Mango Lassi,10,Veg,-218.01,175.51
193,Mango Lassi,10,Veg,112.2,256.38
194,Buttermilk,10,Veg,356.6,623.28
195,Buttermilk,10,Veg,229.91,388.96
196,Buttermilk,10,Veg,286.7,553.42
197,Buttermilk,10,Veg,75.59,177.7
198,Buttermilk,10,Veg,306.01,622.85
199,Green Salad,11,Veg,404.35,804.44
200,Green Salad,11,Veg,115.71,339.07
201,Green Salad,11,Non-Veg,95.64,201.54
202,Green Salad,11,Veg,,692.8
203,Green Salad,11,Veg,193.3,583.13
204,Caesar Salad,11,Veg,263.13,602.97
205,Caesar Salad,11,Veg,87.65,187.62
206,Caesar Salad,11,Veg,32.31,64.53
207,Caesar Salad,11,Non-Veg,159.85,327.45
208,Caesar Salad,11,Non-Veg,126.73,256.81
209,Fruit Salad,11,Veg,449.3,850.11
210,Fruit Salad,11,Veg,122.18,213.48
211,Fruit Salad,11,Veg,363.2,763.32
212,Fruit Salad,11,Veg,,158.23
213,Fruit Salad,11,Veg,110.98,257.83
214,Kachumber Salad,11,Veg,214.78,409.75
215,Kachumber Salad,11,Veg,62.67,152.94
216,Kachumber Salad,11,Veg,127.79,344.05
217,Kachumber Salad,11,Veg,241.02,579.07
218,Kachumber Salad,11,Veg,65.09,210.67
219,Kachumber Salad,11,Veg,492.72,879.2
220,Margherita Pizza,12,Veg,134.95,241.86
221,Margherita Pizza,12,Non-Veg,149.39,268.71
222,Margherita Pizza,12,Veg,100.55,330.92
223,Margherita Pizza,12,Veg,34.59,77.85
224,Margherita Pizza,12,Veg,396.67,730.68
225,Farmhouse Pizza,12,Non-Veg,112.85,222.18
226,Farmhouse Pizza,12,Veg,319.44,609.14
227,Farmhouse Pizza,12,Non-Veg,458.68,925.93
228,Farmhouse Pizza,12,Non-Veg,68.7,165.52
229,White Sauce Pasta,12,Non-Veg,43.68,98.54
230,White Sauce Pasta,12,Veg,316.24,539.82
231,White Sauce Pasta,12,Veg,221.11,388.84
232,White Sauce Pasta,12,Veg,132.0,314.5
233,White Sauce Pasta,12,Non-Veg,466.09,879.85
234,Red Sauce Pasta,12,Veg,184.66,493.5
235,Red Sauce Pasta,12,Veg,143.08,418.43
236,Red Sauce Pasta,12,Veg,169.4,510.31
237,Red Sauce Pasta,12,Non-Veg,51.95,109.77
238,Red Sauce Pasta,12,Non-Veg,244.09,624.16
239,Red Sauce Pasta,12,Veg,184.8,598.04
