feedback_id,customer_id,order_id,branch_id,rating,feedback_category,feedback_date,comment_length_words
43,3163,29350,9,4,Ambience,2024-05-01,30
44,1849,4179,26,4,Food Quality,2023-06-26,35
45,3361,12341,23,4,Cleanliness,2024-04-04,26
46,5112,24273,20,2,Delivery Time,2024-03-30,8
47,2304,26528,11,2,Cleanliness,2024-07-04,31
48,5050,15600,14,4,Value for Money,2024-04-23,29
49,4633,569,16,1,Food Quality,2024-11-21,34
50,1965,17267,5,3,Delivery Time,2023-04-27,26
51,407,2066,21,4,Cleanliness,2023-12-25,39
52,884,19645,26,2,Food Quality,2023-04-18,3
53,6450,8870,27,5,Value for Money,2023-12-15,39
54,1144,20220,18,3,Ambience,2024-02-11,32
55,4864,733,17,5,Cleanliness,2023-12-21,7
56,6301,23224,15,3,Value for Money,2023-10-23,17
57,4399,18364,23,2,Value for Money,2024-04-12,21
58,5930,12272,3,5,Cleanliness,2023-02-01,24
59,940,13554,14,4,Cleanliness,2023-06-30,8
60,5402,15796,17,5,Value for Money,2024-11-11,12
61,3534,14545,17,5,Service,2024-04-16,36
62,6481,8702,1,3,Delivery Time,2023-03-29,20
63,5766,14875,28,3,Service,2024-05-19,17
64,2393,25310,11,3,Ambience,2024-08-05,28
65,5895,22273,4,4,Food Quality,2023-06-13,13
66,5124,7944,12,2,Ambience,2024-03-17,22
67,6896,24221,7,3,Delivery Time,2023-11-25,16
68,978,26672,23,5,Service,2023-08-22,8
69,1028,15707,11,5,Food Quality,2024-02-21,39
70,2358,4950,2,3,Delivery Time,2024-04-25,36
71,939,15163,23,4,Food Quality,2024-11-21,0
72,1660,6307,17,4,Food Quality,2024-12-18,30
73,2451,16636,2,3,Service,2023-01-01,22
74,2896,23592,16,5,Ambience,2024-12-12,19
75,4746,18248,28,4,Food Quality,2023-08-24,21
76,2164,28675,17,3,Service,2024-02-20,3
77,3010,24716,13,5,Food Quality,2024-03-14,9
78,4249,19896,28,3,Ambience,2023-12-31,37
79,5061,28792,12,5,Service,2023-06-01,17
80,3633,24143,3,4,Food Quality,2024-10-17,32
81,6539,11138,7,5,Food Quality,2024-06-23,11
82,216,3698,23,4,Food Quality,2023-02-16,2
83,3882,8509,10,4,Ambience,2024-04-27,28
84,656,8573,25,4,Value for Money,2023-12-21,40
85,1687,18509,10,4,Value for Money,2024-11-08,5
86,1112,7276,1,5,Delivery Time,2023-06-24,25
87,652,4305,21,4,Service,2023-06-20,40
88,1713,21988,21,4,Cleanliness,2024-11-26,32
89,856,1482,26,5,Cleanliness,2023-11-09,19
90,6556,22414,26,4,Delivery Time,2024-04-20,31
91,1244,19203,18,4,Delivery Time,2024-05-29,11
92,354,2646,19,4,Cleanliness,2023-09-02,25
93,6021,11597,26,4,Ambience,2023-04-18,14
94,5017,16146,14,1,Service,2023-03-18,11
95,3334,19280,9,1,Cleanliness,2024-07-02,38
96,1142,23363,14,5,Food Quality,2023-08-31,8
97,6630,27645,18,4,Ambience,2024-12-12,36
98,6751,28486,17,2,Delivery Time,2023-10-31,5
99,2439,15745,5,5,Delivery Time,2024-07-03,19
100,3734,3146,14,4,Value for Money,2023-10-08,12
101,755,3440,28,3,Cleanliness,2024-11-17,18
102,1285,18030,26,3,Value for Money,2024-03-24,0
103,2674,1664,13,4,Cleanliness,2023-10-15,0
104,3306,15417,13,4,Cleanliness,2023-09-17,7
105,6723,28964,5,5,Ambience,2023-07-17,40
106,3759,943,23,5,Cleanliness,2024-10-14,29
107,6179,20697,4,3,Ambience,2024-03-25,9
108,4800,11752,11,1,Food Quality,2023-09-03,7
109,1552,30758,2,4,Cleanliness,2023-07-04,2
110,2679,14476,15,5,Ambience,2024-02-04,19
111,4417,3171,17,4,Food Quality,2024-06-03,40
112,722,30911,19,4,Value for Money,2023-01-01,32
113,2422,21188,4,2,Delivery Time,2023-12-16,20
114,3593,16124,26,5,Cleanliness,2024-10-18,32
115,2219,19262,16,5,Cleanliness,2023-06-01,13
116,5104,25669,19,2,Cleanliness,2023-02-12,27
117,475,32,17,4,Food Quality,2023-07-26,35
118,4214,28527,11,2,Value for Money,2023-01-18,33
119,5845,16557,20,5,Delivery Time,2023-10-20,37
120,3089,9771,9,8,Ambience,2024-01-19,21
121,3549,11692,7,3,Service,2024-04-08,35
122,4657,23523,5,5,Food Quality,2024-02-02,7
123,2715,25338,7,4,Food Quality,2024-10-01,30
124,2985,26921,24,4,Food Quality,2024-05-08,14
125,2212,14799,11,5,Service,2024-06-23,14
126,5851,9332,15,5,Delivery Time,2023-04-07,5
127,2779,20586,24,4,Food Quality,2024-09-24,3
128,6559,13048,12,4,Value for Money,2023-01-23,1
129,3978,26191,8,5,Delivery Time,2024-09-06,30
130,663,16053,17,5,Cleanliness,2024-09-27,9
131,889,10023,7,4,Service,2023-10-14,23
132,5466,3860,14,2,Value for Money,2024-09-27,25
133,2928,20269,25,4,Cleanliness,2024-11-21,25
134,3383,28094,28,3,Service,2024-11-03,12
135,5650,4346,8,2,Ambience,2023-05-27,17
136,4628,29347,20,5,Value for Money,2023-08-10,17
137,2223,18399,12,4,Delivery Time,2023-05-16,13
138,2003,19105,6,5,Delivery Time,2024-05-08,21
139,6362,23502,6,5,Service,2023-02-03,40
140,6993,4775,21,5,Service,2023-06-15,27
141,3622,6861,13,4,Ambience,2023-01-31,19
142,362,14358,17,4,Value for Money,2024-10-22,14
143,4490,7034,6,2,Delivery Time,2023-09-15,13
144,4368,6091,18,4,Value for Money,2024-05-13,3
145,1149,28991,18,2,Delivery Time,2023-09-21,35
146,5632,4118,24,1,Cleanliness,2024-05-24,27
147,839,2541,9,5,Ambience,2023-08-23,32
148,1167,27784,11,4,Delivery Time,2024-10-19,25
149,6102,21143,2,3,Food Quality,2023-08-19,7
150,4685,24477,15,2,Delivery Time,2024-05-14,2
151,99999,999999,999,7,Cleanliness,2023-10-31,
152,2752,7786,8,5,Cleanliness,2023-11-20,27
153,2336,27281,4,4,Cleanliness,2024-04-27,27
154,2920,28117,17,4,Value for Money,2024-05-06,22
155,2960,25769,17,5,Delivery Time,2023-04-27,32
156,962,23871,26,5,Value for Money,2023-10-23,29
157,2791,21940,9,4,Service,2024-05-05,19
158,1776,750,24,5,Ambience,2024-05-16,36
159,3197,25305,20,2,Service,2023-09-05,0
160,2967,28034,16,4,Value for Money,2023-11-14,33
161,4629,726,20,5,Value for Money,2024-12-16,32
162,1981,8134,28,5,Ambience,2024-03-08,27
163,925,13233,15,4,Value for Money,2023-10-06,0
164,5117,16610,27,4,Cleanliness,2023-07-13,7
165,4858,25612,27,4,Food Quality,2023-08-28,36
166,5466,491,4,3,Ambience,2023-12-28,4
167,3433,4280,3,4,Value for Money,2023-05-09,13
168,4151,10999,16,4,Cleanliness,2023-04-26,
169,5697,30521,26,5,Service,2024-11-04,18
170,1461,28086,19,1,Ambience,2024-01-26,2
171,1684,23309,20,5,Service,2024-09-23,5
172,5112,17756,25,4,Service,2023-11-21,22
173,3588,11651,1,4,Ambience,2024-09-10,26
174,6490,10942,23,5,Service,2023-04-02,1
175,1376,31933,19,1,Food Quality,2023-04-04,23
176,2037,23846,4,5,Food Quality,2023-01-18,26
177,208,11436,14,2,Delivery Time,2023-09-13,38
178,539,15038,24,5,Service,2024-04-02,8
179,2852,5967,8,3,Ambience,2023-11-02,26
180,51,10125,27,5,Cleanliness,2023-11-29,19
181,5677,21647,14,5,Value for Money,2023-06-01,31
182,5816,13018,11,4,Service,2023-04-05,21
183,1279,5483,25,1,Delivery Time,2024-04-27,0
184,4863,23351,1,3,Food Quality,2024-04-13,6
185,341,25749,28,4,Cleanliness,2024-01-09,6
186,3172,23340,28,5,Service,2024-03-17,18
187,99999,999999,999,8,Food Quality,2024-01-22,
188,6717,3407,12,4,Service,2023-04-10,38
189,6629,31942,24,5,Ambience,2024-08-17,2
190,5934,25613,7,4,Cleanliness,2023-03-17,
191,2701,16605,1,5,Service,2023-06-15,23
192,3592,15944,22,4,Delivery Time,2024-03-14,
193,64,5643,28,3,Ambience,2024-04-11,35
194,517,26166,8,4,Ambience,2024-03-17,5
195,3407,26302,9,1,Delivery Time,2023-01-12,18
196,1428,19785,21,4,Value for Money,2024-07-22,28
197,5917,12632,3,3,Cleanliness,2024-09-23,32
198,1899,11896,12,3,Ambience,2024-07-11,8
199,4316,23765,18,5,Service,2024-01-17,17
200,3060,21119,22,5,Cleanliness,2024-07-03,33
201,630,27137,26,3,Ambience,2024-06-29,16
202,1402,4321,1,4,Cleanliness,2023-07-25,35
203,4645,3162,21,5,Service,2024-04-25,26
204,241,28721,1,5,Value for Money,2024-01-17,0
205,6523,30081,8,4,Food Quality,2023-05-24,22
206,4287,1703,15,3,Service,2024-12-04,3
207,3224,1073,10,5,Service,2024-05-08,2
208,5643,8345,7,3,Cleanliness,2024-04-17,21
209,4106,6174,2,4,Delivery Time,2024-01-18,1
210,1038,20045,17,2,Cleanliness,2023-07-28,33
211,2723,22568,9,3,Ambience,2023-02-07,16
212,1881,4011,14,4,Service,2023-01-02,14
213,357,6061,27,3,Service,2024-06-15,39
214,1582,22573,22,3,Service,2023-09-07,14
215,2899,14531,26,5,Service,2023-02-01,21
216,4067,16776,9,1,Cleanliness,2024-04-18,
217,6130,838,7,4,Food Quality,2024-01-14,28
218,4364,25154,10,5,Service,2024-03-19,28
219,259,13345,15,4,Ambience,2024-12-30,30
220,3320,23264,12,4,Value for Money,2023-05-18,21
221,625,14694,12,4,Service,2024-03-13,30
222,99999,999999,999,7,Delivery Time,2023-03-22,17
223,1965,24517,5,2,Delivery Time,2024-02-09,10
224,67,24705,11,4,Food Quality,2024-05-25,8
225,5398,4212,2,4,Value for Money,2023-09-10,5
226,601,25384,19,5,Service,2023-05-17,4
227,1472,11034,14,4,Value for Money,2024-11-30,3
228,3994,24116,8,4,Service,2023-08-04,1
229,6563,23716,26,5,Delivery Time,2024-11-25,15
230,748,4009,27,5,Ambience,2024-02-07,20
231,4367,17188,16,2,Ambience,2024-12-07,38
232,6579,13368,18,5,Value for Money,2024-10-02,10
233,6028,7892,16,5,Ambience,2024-08-30,39
234,2286,16711,3,5,Value for Money,2023-10-17,0
235,935,10946,21,3,Service,2023-10-17,8
236,6116,7728,2,5,Ambience,2023-01-18,13
237,2927,5517,21,4,Ambience,2024-04-06,19
238,2565,11843,22,5,Cleanliness,2024-12-03,35
239,1541,25382,18,4,Cleanliness,2023-07-21,
240,1246,24116,23,4,Ambience,2023-06-12,26
241,6502,27709,21,5,Service,2023-12-29,30
242,3613,12997,25,5,Service,2023-05-24,0
243,613,29198,11,4,Food Quality,2024-11-27,17
244,2733,27539,22,5,Ambience,2024-02-03,5
245,115,30902,12,4,Value for Money,2023-06-06,0
246,2841,9206,27,3,Value for Money,2024-12-01,27
247,5536,165,20,2,Cleanliness,2024-07-29,26
248,4939,30397,19,4,Service,2024-07-02,21
249,5672,1495,16,5,Ambience,2024-07-04,13
250,2738,5484,4,4,Food Quality,2023-09-23,15
251,6226,3749,19,4,Ambience,2023-02-12,25
252,3451,650,1,5,Ambience,2024-06-18,15
253,2591,3182,5,4,Food Quality,2024-12-12,11
254,882,12835,15,4,Service,2024-10-08,20
255,1632,15815,28,3,Cleanliness,2024-12-24,28
256,1627,27334,10,3,Delivery Time,2023-12-01,21
257,4916,16960,15,4,Value for Money,2023-12-13,34
258,1264,7383,6,5,Cleanliness,2024-10-06,5
259,4560,18096,16,5,Value for Money,2024-01-28,
260,260,12489,6,4,Value for Money,2024-07-10,29
261,4710,19042,17,4,Value for Money,2023-06-01,1
262,1446,25913,7,4,Ambience,2023-02-23,34
263,1735,8118,20,3,Cleanliness,2024-04-21,16
264,4284,27217,8,3,Delivery Time,2024-07-17,5
265,4779,14550,8,5,Delivery Time,2024-05-01,18
266,1046,18382,7,4,Food Quality,2024-04-02,11
267,99999,999999,999,10,Food Quality,2023-03-21,25
268,99999,999999,999,8,Service,2023-09-30,33
269,1367,25999,16,5,Ambience,2023-11-28,39
270,3485,7937,3,5,Service,2023-11-17,36
271,6657,31371,22,5,Cleanliness,2023-10-30,26
272,6902,21455,20,4,Service,2024-07-05,16
273,5370,13708,8,2,Ambience,2023-02-21,27
274,2989,3237,27,5,Value for Money,2024-10-01,6
275,3726,24569,9,3,Value for Money,2024-06-06,35
276,2521,5435,24,4,Cleanliness,2023-10-07,24
277,5536,10251,26,4,Value for Money,2023-10-03,28
278,6308,13398,15,2,Value for Money,2024-02-09,5
279,4144,20890,21,5,Food Quality,2023-05-12,39
280,3196,3901,17,3,Value for Money,2023-07-15,33
281,2350,30837,1,5,Cleanliness,2023-07-25,13
282,6367,19744,26,5,Cleanliness,2023-04-25,37
283,5189,24065,26,5,Value for Money,2023-12-01,22
284,4215,30048,27,4,Service,2024-12-08,36
285,905,170,2,3,Cleanliness,2023-10-26,7
286,5263,28640,6,3,Food Quality,2023-10-15,32
287,4577,13593,9,3,Ambience,2023-03-12,33
288,2433,6473,1,9,Delivery Time,2024-12-18,18
289,4813,16362,24,4,Delivery Time,2024-03-13,31
290,5235,20484,20,4,Ambience,2023-03-03,20
291,2774,17623,26,3,Food Quality,2024-09-01,38
292,99999,999999,999,7,Food Quality,2023-04-17,30
293,1745,8539,14,5,Food Quality,2024-10-13,36
294,5655,21325,7,5,Food Quality,2024-11-15,9
295,99999,999999,999,6,Delivery Time,2023-07-24,17
296,3105,25153,4,5,Delivery Time,2023-02-16,5
297,99999,999999,999,8,Service,2024-10-07,8
298,2639,429,6,4,Delivery Time,2023-09-21,21
299,6868,1180,3,5,Cleanliness,2024-09-25,31
300,6348,22387,20,4,Cleanliness,2024-07-26,2
301,2570,28580,6,5,Food Quality,2024-09-09,15
302,5809,18822,26,1,Cleanliness,2024-09-11,15
303,229,29338,8,5,Food Quality,2024-03-07,33
304,4097,6541,28,5,Ambience,2023-01-09,4
305,4292,3384,26,3,Value for Money,2024-12-21,5
306,99999,999999,999,10,Service,2023-12-28,17
307,709,15277,11,3,Service,2023-10-21,26
308,1606,28727,15,4,Ambience,2023-12-29,35
309,553,7467,1,4,Delivery Time,2024-02-22,22
310,2004,11047,10,4,Value for Money,2024-09-21,14
311,3143,25145,25,3,Ambience,2023-05-15,3
312,3643,19998,5,4,Service,2023-03-31,14
313,3848,14540,22,4,Value for Money,2023-09-29,6
314,4001,23490,17,4,Ambience,2024-04-24,6
315,3740,2652,8,3,Cleanliness,2024-04-01,25
316,2873,22691,22,4,Value for Money,2023-02-11,24
317,2304,15391,8,5,Value for Money,2024-02-17,17
318,4645,26986,16,5,Food Quality,2024-11-27,0
319,4491,8177,16,5,Cleanliness,2024-07-26,5
320,5088,29834,7,4,Value for Money,2023-10-09,16
321,3382,8986,17,4,Ambience,2023-11-14,29
322,828,21482,18,5,Value for Money,2023-11-11,9
323,5134,14100,25,3,Cleanliness,2023-09-30,22
324,5873,24252,24,5,Service,2023-09-12,2
325,3450,25939,17,4,Ambience,2023-06-22,10
326,4546,30374,3,1,Delivery Time,2024-01-29,
327,435,6612,16,4,Food Quality,2023-05-29,6
328,5779,20296,28,4,Service,2023-11-03,32
329,4093,1569,18,5,Ambience,2024-03-26,24
330,4061,24765,12,4,Value for Money,2023-04-15,20
331,1570,14261,15,5,Service,2024-07-18,1
332,1924,18890,2,5,Food Quality,2023-02-01,16
333,5094,27674,26,4,Food Quality,2024-10-16,26
334,2369,14612,5,4,Cleanliness,2024-01-26,39
335,1536,23360,8,5,Delivery Time,2023-05-18,3
336,99999,999999,999,6,Food Quality,2024-01-11,13
337,524,2057,3,5,Ambience,2024-01-28,37
338,5723,25311,3,4,Service,2024-05-09,12
339,2581,7429,12,3,Service,2023-03-04,33
340,859,24691,16,2,Value for Money,2024-08-14,0
341,3782,24368,8,5,Ambience,2023-09-09,21
342,4564,17866,11,2,Value for Money,2024-11-17,21
343,2778,6149,23,4,Delivery Time,2024-05-28,40
344,1957,11978,8,2,Ambience,2024-01-30,
345,2045,31168,13,5,Value for Money,2023-11-07,17
346,6874,6307,21,5,Service,2023-03-04,24
347,2901,22622,4,3,Delivery Time,2023-10-31,21
348,3486,22702,5,4,Food Quality,2024-01-03,25
349,2820,26710,15,4,Delivery Time,2023-02-01,9
350,6126,28299,11,4,Service,2024-05-03,19
351,2732,16040,21,5,Cleanliness,2023-01-24,12
352,4669,10426,5,4,Value for Money,2023-08-10,34
353,1399,17449,27,4,Food Quality,2023-07-07,
354,6415,2881,25,3,Food Quality,2023-09-17,4
355,5960,25460,21,4,Service,2024-02-22,16
356,5976,11465,10,4,Food Quality,2023-03-18,31
357,6049,30250,15,5,Value for Money,2023-08-02,19
358,2876,22411,28,5,Cleanliness,2024-02-14,
359,5837,4268,14,5,Value for Money,2023-01-16,16
360,6063,23104,7,3,Food Quality,2024-07-01,36
361,4174,5689,15,5,Service,2023-04-16,21
362,5667,1857,16,5,Ambience,2024-07-24,26
363,4882,11482,19,4,Value for Money,2023-11-22,17
364,5596,23388,10,2,Cleanliness,2023-09-09,13
365,1023,17187,19,2,Cleanliness,2024-01-28,31
366,5247,604,14,4,Ambience,2023-12-30,37
367,2289,21954,16,5,Food Quality,2024-06-28,18
368,2121,15050,19,3,Food Quality,2023-08-12,16
369,627,13485,28,3,Ambience,2024-10-15,23
370,5685,10091,15,5,Delivery Time,2024-04-05,34
371,5994,5928,5,5,Value for Money,2024-05-25,35
372,4493,28529,8,4,Service,2024-01-01,0
373,2218,16549,9,4,Food Quality,2023-04-28,30
374,1553,13420,6,2,Value for Money,2024-02-01,30
375,5387,7692,15,5,Service,2023-05-02,36
376,5858,24890,26,5,Ambience,2024-08-21,20
377,1405,13590,23,4,Ambience,2024-10-12,30
378,3352,11694,12,3,Cleanliness,2024-04-10,4
379,1865,2762,3,3,Cleanliness,2024-05-27,33
380,1768,7353,26,5,Delivery Time,2024-11-21,17
381,2595,18634,11,1,Value for Money,2024-05-19,38
382,4462,9468,4,3,Food Quality,2024-02-27,12
383,1476,8183,20,3,Service,2024-02-02,15
384,6503,14965,12,5,Ambience,2024-02-18,18
385,5871,14206,10,4,Ambience,2023-08-22,20
386,3628,5983,27,4,Cleanliness,2023-03-07,23
387,5969,23413,20,5,Ambience,2023-12-17,32
388,1349,14946,18,1,Value for Money,2023-12-29,6
389,5375,27216,1,1,Ambience,2024-09-09,3
390,1673,18975,3,1,Food Quality,2024-03-10,23
391,3662,8985,5,5,Ambience,2024-04-04,38
392,2899,12825,7,5,Value for Money,2023-07-29,35
393,2715,1245,15,4,Food Quality,2024-10-23,22
394,5142,20502,12,4,Cleanliness,2023-02-08,39
395,5195,8602,21,4,Cleanliness,2024-02-16,16
396,1537,29731,4,3,Value for Money,2024-08-27,37
397,6355,5229,2,5,Delivery Time,2023-08-28,10
398,5803,26013,28,3,Delivery Time,2023-03-17,23
399,5463,18174,10,5,Service,2023-07-13,18
400,6209,29614,8,4,Service,2024-08-08,21
401,1972,28824,11,4,Cleanliness,2024-04-10,13
402,374,11628,21,5,Food Quality,2024-11-23,5
403,3310,22441,1,4,Food Quality,2023-04-12,30
404,5579,28091,25,3,Ambience,2024-04-10,
405,99999,999999,999,10,Service,2024-04-01,20
406,1673,22743,14,5,Delivery Time,2024-12-18,22
407,5121,14916,21,3,Value for Money,2023-03-05,9
408,4636,21222,12,5,Ambience,2023-12-06,15
409,6929,15527,9,4,Delivery Time,2023-09-13,17
410,6671,21811,25,3,Value for Money,2024-08-22,34
411,3890,3475,3,5,Cleanliness,2023-11-01,16
412,4970,3228,9,4,Food Quality,2023-11-06,5
413,2366,13572,27,3,Food Quality,2023-01-12,26
414,1842,17880,25,5,Service,2023-10-14,3
415,4303,1532,1,3,Cleanliness,2023-05-22,2
416,1880,28570,17,5,Ambience,2023-04-26,30
417,5539,31155,10,5,Service,2024-07-11,10
418,1027,17190,22,5,Value for Money,2023-11-12,8
419,1209,13300,24,5,Food Quality,2023-10-11,7
420,2304,14949,8,5,Cleanliness,2024-04-13,40
421,2419,17954,4,5,Value for Money,2023-01-12,5
422,4432,22657,19,2,Delivery Time,2023-10-20,13
423,3137,13103,6,5,Cleanliness,2024-05-21,8
424,2719,31803,18,3,Food Quality,2023-02-28,30
425,1218,1913,17,4,Ambience,2024-07-11,14
426,3713,18379,21,4,Delivery Time,2023-12-04,12
427,1878,12212,19,3,Cleanliness,2023-06-01,5
428,442,27899,9,3,Ambience,2024-10-11,29
429,2016,1571,9,5,Food Quality,2023-12-03,9
430,456,15874,11,5,Food Quality,2024-02-15,
431,583,9088,21,5,Cleanliness,2024-06-09,35
432,6292,14891,21,4,Delivery Time,2023-07-29,36
433,1180,31272,2,3,Food Quality,2023-10-02,32
434,1533,169,28,5,Value for Money,2024-01-08,25
435,2936,19925,28,4,Ambience,2023-08-10,3
436,4268,21510,20,5,Cleanliness,2024-04-09,11
437,5255,8438,16,5,Delivery Time,2023-06-20,12
438,1666,18689,15,3,Delivery Time,2024-04-13,10
439,1589,7284,3,4,Value for Money,2024-06-09,3
440,6344,21435,19,3,Service,2024-01-22,28
441,297,9939,2,4,Value for Money,2023-01-29,18
442,1115,29803,10,5,Value for Money,2023-02-09,25
443,6883,14525,24,5,Cleanliness,2024-08-11,26
444,108,25133,5,5,Food Quality,2023-12-08,20
445,506,30789,17,4,Value for Money,2023-03-17,34
446,1006,31105,15,3,Cleanliness,2023-06-01,14
447,2737,28706,22,5,Ambience,2024-01-25,31
448,6344,7796,8,5,Delivery Time,2023-06-03,25
449,1662,12336,14,4,Value for Money,2024-09-23,12
450,4381,6448,25,3,Service,2023-05-22,29
451,4833,7814,1,4,Cleanliness,2023-12-07,20
452,6221,9764,9,4,Food Quality,2023-11-17,11
453,4681,21573,5,3,Cleanliness,2024-01-25,3
454,1731,10030,28,4,Delivery Time,2024-05-14,24
455,5569,20276,11,3,Ambience,2023-08-09,7
456,2578,3646,16,4,Ambience,2023-03-08,36
457,406,19122,18,5,Delivery Time,2023-02-18,39
458,787,11549,25,5,Delivery Time,2023-04-17,8
459,1137,12211,8,3,Value for Money,2024-12-14,16
460,4543,10163,22,4,Delivery Time,2024-09-29,20
461,1015,4885,8,5,Cleanliness,2024-01-27,40
462,5763,12974,27,5,Value for Money,2024-09-05,36
463,2376,2126,1,3,Service,2024-01-16,
464,493,1156,16,5,Value for Money,2023-06-06,4
465,4168,16501,14,4,Ambience,2023-11-22,28
466,99999,999999,999,7,Service,2023-01-25,23
467,99999,999999,999,9,Ambience,2024-05-10,1
468,5572,1035,24,4,Ambience,2023-10-27,20
469,2014,677,25,1,Ambience,2023-06-27,13
470,1621,20238,25,5,Cleanliness,2023-09-20,2
471,3113,30982,21,3,Cleanliness,2024-10-06,34
472,4304,18857,25,4,Cleanliness,2023-03-25,16
473,2833,29566,23,1,Cleanliness,2024-07-11,10
474,3863,3096,22,4,Ambience,2024-11-03,
475,4223,20405,6,5,Food Quality,2024-11-14,34
476,5166,13816,9,5,Service,2024-04-19,8
477,5351,15267,22,4,Ambience,2023-12-04,35
478,829,7459,1,5,Delivery Time,2023-03-24,24
479,6547,29146,6,4,Cleanliness,2023-10-30,30
480,1421,1168,7,5,Service,2024-01-05,10
481,4506,2077,16,4,Ambience,2023-06-23,36
482,1882,10844,23,1,Ambience,2023-12-23,8
483,5097,12395,23,5,Cleanliness,2024-04-27,32
484,194,23076,24,5,Cleanliness,2024-05-26,35
485,4217,15122,7,5,Cleanliness,2023-12-07,37
486,1118,31435,1,10,Service,2024-08-24,19
487,3226,11095,16,3,Food Quality,2023-09-01,27
488,541,30109,24,4,Food Quality,2023-05-30,0
489,4574,5927,6,3,Cleanliness,2024-10-11,36
490,5323,9902,28,5,Delivery Time,2024-10-31,25
491,173,18785,18,4,Cleanliness,2023-10-27,4
492,1986,24077,9,3,Service,2023-05-14,10
493,6628,17075,3,5,Delivery Time,2023-04-15,27
494,982,11214,23,4,Value for Money,2023-03-23,31
495,212,4827,27,4,Delivery Time,2023-11-10,9
496,6715,30105,16,2,Delivery Time,2024-07-03,3
497,1280,26538,15,4,Value for Money,2024-10-13,36
498,506,14196,27,4,Delivery Time,2023-05-15,1
499,540,937,19,5,Food Quality,2023-06-01,26
500,2523,15740,6,5,Food Quality,2024-10-28,10
501,3519,29430,19,5,Delivery Time,2024-03-15,34
502,4308,391,14,3,Food Quality,2024-04-30,39
503,5895,3448,5,3,Value for Money,2023-04-25,9
504,1977,24856,17,1,Value for Money,2024-01-12,37
505,2449,21429,17,4,Service,2024-09-14,40
506,1392,23478,22,4,Ambience,2023-09-01,5
507,2486,3782,1,4,Food Quality,2023-07-24,28
508,2553,27857,26,1,Food Quality,2024-03-19,31
509,5184,20971,9,4,Service,2023-02-27,33
510,6556,7447,8,4,Cleanliness,2024-12-17,11
511,834,8808,21,3,Ambience,2023-01-27,2
512,2984,21988,6,3,Value for Money,2023-02-24,3
513,3421,4675,13,4,Food Quality,2024-02-29,3
514,4093,12950,3,4,Food Quality,2023-01-27,10
515,4838,11926,1,4,Cleanliness,2024-07-07,
516,1786,27323,2,2,Food Quality,2023-11-24,6
517,5229,7544,17,5,Food Quality,2024-12-07,38
518,2003,1958,21,5,Delivery Time,2024-08-13,29
519,3073,23662,28,5,Service,2024-05-25,13
520,744,11738,20,5,Delivery Time,2023-10-29,36
521,716,24851,26,5,Food Quality,2023-11-06,25
522,1868,1716,5,5,Value for Money,2024-09-26,31
523,3560,2772,15,1,Delivery Time,2023-07-21,39
524,6368,23490,12,5,Service,2023-03-08,35
525,2728,15982,20,1,Cleanliness,2024-08-20,4
