order_id,customer_id,branch_id,order_date,order_hour,order_type,order_status,payment_method,discount_pct,total_amount_inr,completion_time_minutes
90,1063,12,2023-07-22,19,Dine-In,Completed,Credit Card,0,1752.24,66.2
91,5088,11,2023-01-31,23,Takeaway,Completed,Credit Card,5,3994.82,56.8
92,5128,27,2024-03-21,17,Dine-In,Completed,Wallet,0,,17.0
93,1282,8,2024-04-26,12,Dine-In,In Progress,Wallet,10,1198.12,37.9
94,4368,8,2024-10-07,22,Takeaway,Completed,Wallet,15,2961.32,34.2
95,3543,6,2024-12-18,18,Online,Completed,Credit Card,15,5501.48,52.9
96,1314,28,2023-01-12,13,Takeaway,Completed,Cash,0,2381.77,73.3
97,806,1,2024-03-12,14,Online,Completed,Credit Card,20,455.57,24.8
98,5357,10,2023-03-22,19,Takeaway,Completed,Cash,20,4726.83,66.7
99,3771,1,2024-08-28,16,Dine-In,Completed,Credit Card,15,3084.5,30.5
100,2625,14,2023-06-27,13,Dine-In,Completed,Credit Card,5,2061.92,35.4
101,5302,9,2023-05-03,21,Dine-In,Completed,Cash,5,4039.61,75.0
102,3002,16,2023-11-30,16,Online,Completed,Credit Card,5,3287.15,57.3
103,455,25,2023-04-23,21,Takeaway,Completed,UPI,0,2019.28,53.8
104,6440,8,2024-04-22,19,Dine-In,Completed,UPI,0,5644.08,30.4
105,272,23,2023-11-13,12,Dine-In,Completed,UPI,0,3200.04,24.6
106,4683,24,2024-11-15,9,Takeaway,Completed,Credit Card,0,3862.78,9.3
107,4174,18,2024-12-22,20,Takeaway,Completed,Wallet,5,3406.18,33.0
108,4954,27,2024-02-21,19,Online,Completed,Wallet,0,1559.95,74.1
109,4228,7,2024-02-05,9,Dine-In,Completed,Credit Card,0,4906.5,34.5
110,3637,18,2024-11-07,18,Takeaway,Pending,Wallet,5,3637.27,48.5
111,396,8,2023-03-27,17,Online,Completed,Cash,20,5792.1,58.6
112,778,27,2023-05-03,21,Takeaway,Completed,Wallet,0,5933.72,29.9
113,1528,15,2024-01-19,21,Takeaway,Completed,Wallet,15,1280.63,47.2
114,795,25,2023-11-04,13,Takeaway,Cancelled,Cash,0,2787.93,57.5
115,6626,21,2023-11-29,13,Takeaway,Completed,UPI,0,2682.73,18.9
116,1880,4,2024-04-15,15,Takeaway,Cancelled,Cash,0,557.87,24.8
117,5621,5,2024-01-30,23,Dine-In,Completed,Debit Card,20,1022.69,57.1
118,286,26,2023-05-26,14,Takeaway,Completed,Credit Card,0,5940.82,13.6
119,2336,7,2024-07-09,12,Takeaway,Completed,Credit Card,20,3219.08,21.6
120,2249,20,2024-11-21,18,Online,Completed,Cash,0,461.99,60.5
121,6772,26,2024-04-09,19,Takeaway,Completed,Cash,20,5986.76,66.4
122,3039,20,2023-03-24,20,Takeaway,Completed,Credit Card,0,3381.2,16.7
123,1910,4,2024-03-31,10,Takeaway,Completed,UPI,0,4913.04,70.1
124,6864,17,2024-05-14,8,Online,Completed,Credit Card,5,5089.84,27.8
125,6939,28,2024-02-09,21,Takeaway,Completed,UPI,0,168.17,14.1
126,3124,1,2024-03-17,18,Dine-In,Completed,Credit Card,10,1206.62,42.5
127,4876,6,2024-10-13,23,Online,Cancelled,UPI,5,750.28,45.9
128,2681,23,2023-05-01,18,Takeaway,Completed,Wallet,10,3489.9,27.7
129,1651,9,2023-05-08,21,Takeaway,Pending,Wallet,0,2627.09,66.5
130,4058,15,2024-08-21,19,Dine-In,Completed,Wallet,0,2193.49,47.1
131,5955,13,2023-01-28,21,Online,Completed,UPI,5,5087.1,55.4
132,1553,24,2024-05-05,16,Dine-In,Completed,Cash,10,3371.78,19.4
133,184,16,2023-11-24,9,Dine-In,Completed,Wallet,20,1989.4,69.5
134,4588,11,2024-01-27,15,Online,Completed,UPI,20,652.59,13.5
135,1335,9,2024-12-21,16,Takeaway,Completed,Cash,5,5234.8,28.8
136,6792,2,2023-10-16,16,Online,Completed,Cash,0,670.83,38.2
137,3630,23,2023-12-27,17,Takeaway,Completed,Debit Card,20,2825.98,29.6
138,1416,23,2023-11-13,21,Takeaway,Completed,Credit Card,5,3176.46,41.2
139,1694,5,2023-10-30,12,Takeaway,Cancelled,Wallet,0,233.04,46.4
140,1224,16,2023-04-12,21,Online,Completed,Credit Card,0,4281.74,34.9
141,2479,18,2024-04-12,22,Takeaway,Completed,Debit Card,10,909.7,33.2
142,4121,12,2023-12-09,19,Dine-In,Cancelled,UPI,0,3849.53,71.5
143,756,13,2024-05-14,23,Dine-In,Completed,Credit Card,5,347.33,70.2
144,6412,22,2024-11-17,22,Dine-In,Completed,Debit Card,0,337.99,34.0
145,3062,28,2024-07-28,11,Takeaway,Completed,Cash,0,5854.71,51.0
146,2786,22,2023-02-08,22,Dine-In,Completed,Debit Card,0,1703.58,42.7
147,2439,23,2024-09-25,20,Takeaway,Cancelled,Wallet,0,4382.42,60.7
148,1620,7,2024-03-27,12,Takeaway,Completed,Cash,0,2259.8,65.6
149,1688,13,2024-05-22,19,Dine-In,Completed,Wallet,15,3276.1,73.5
150,752,24,2023-04-08,19,Online,Completed,Credit Card,5,489.43,39.8
151,6323,17,2024-10-22,16,Dine-In,Completed,Debit Card,20,2233.95,55.4
152,1464,9,2024-05-11,16,Dine-In,Pending,Wallet,15,2147.5,15.6
153,4202,6,2024-08-04,20,Online,Completed,Cash,15,3238.06,63.2
154,880,16,2024-05-03,13,Takeaway,Completed,Cash,15,4782.75,52.6
155,2892,5,2024-12-11,17,Takeaway,Completed,Cash,0,362.02,58.9
156,99999,999,2023-09-25,21,Dine-In,Completed,Credit Card,0,-3890.19,388.9
157,4706,26,2024-05-30,19,Dine-In,Completed,Debit Card,10,2750.78,55.7
158,4503,2,2024-11-14,16,Online,Completed,Credit Card,0,3325.23,41.3
159,3405,6,2024-02-27,19,Dine-In,Pending,Credit Card,20,2251.54,34.1
160,6784,10,2024-12-04,9,Online,Cancelled,UPI,5,5704.08,12.2
161,3240,5,2023-08-28,20,Takeaway,Pending,Cash,0,1457.1,19.4
162,1542,12,2024-07-02,23,Online,Completed,Wallet,10,4976.72,65.1
163,4946,2,2024-11-07,9,Online,Completed,Cash,15,5023.21,11.8
164,6845,27,2023-04-21,15,Online,In Progress,Debit Card,10,2983.74,9.3
165,4373,27,2023-03-12,20,Takeaway,Completed,Debit Card,10,4237.44,26.8
166,1483,19,2023-03-10,13,Dine-In,Cancelled,Cash,0,5319.5,66.5
167,1557,23,2024-12-27,23,Online,Completed,Debit Card,10,2039.54,37.6
168,3753,2,2024-05-10,9,Takeaway,Completed,Credit Card,0,5383.56,33.4
169,4286,7,2023-05-28,18,Dine-In,Cancelled,UPI,15,1823.87,48.6
170,5049,24,2024-12-15,9,Takeaway,Completed,Cash,15,816.62,59.3
171,4545,7,2023-06-14,17,Online,Completed,Cash,0,2103.43,18.4
172,2844,7,2023-05-22,22,Takeaway,Completed,Wallet,5,2953.1,36.8
173,3094,14,2024-05-19,23,Online,In Progress,UPI,20,814.6,65.0
174,2139,12,2023-03-05,16,Takeaway,In Progress,Debit Card,0,295.72,36.9
175,1211,11,2023-07-31,12,Online,Completed,Credit Card,5,1711.54,15.3
176,1996,20,2024-10-25,9,Takeaway,Completed,Wallet,0,2951.05,38.5
177,6979,26,2023-09-22,17,Dine-In,Completed,UPI,0,2592.03,63.6
178,6986,19,2024-05-22,20,Takeaway,Pending,UPI,0,2122.96,20.6
179,1826,28,2023-11-17,19,Takeaway,Completed,UPI,10,5535.21,43.1
180,281,26,2023-06-14,19,Online,Completed,Cash,10,,62.2
181,83,21,2023-10-31,17,Takeaway,Completed,UPI,0,1544.07,9.0
182,2596,11,2024-01-11,20,Online,Cancelled,Cash,15,3006.92,25.2
183,5465,6,2024-02-11,21,Online,Cancelled,Wallet,5,807.93,70.8
184,1825,13,2024-11-08,18,Dine-In,Completed,Debit Card,10,3610.57,23.8
185,5535,9,2023-04-20,13,Dine-In,Completed,Credit Card,0,820.49,28.0
186,2322,3,2023-01-30,12,Dine-In,Pending,Cash,0,3750.96,49.5
187,1892,5,2023-07-05,17,Takeaway,Completed,Credit Card,10,1205.02,43.2
188,5108,27,2024-03-24,18,Takeaway,Completed,UPI,0,5131.12,53.8
189,272,16,2024-02-03,21,Takeaway,Completed,Wallet,0,4633.66,38.6
190,4627,14,2024-07-23,23,Online,Completed,UPI,0,5797.93,56.0
191,964,16,2023-08-20,16,Dine-In,Cancelled,Cash,0,,40.9
192,5899,26,2024-08-02,21,Online,Completed,Debit Card,10,832.98,63.8
193,1199,11,2023-12-22,19,Online,Completed,UPI,10,2588.47,47.2
194,3393,13,2023-12-13,18,Dine-In,Completed,Debit Card,0,5253.51,51.0
195,1584,25,2024-03-20,21,Dine-In,Completed,Wallet,20,4256.23,19.9
196,4251,8,2023-04-26,18,Dine-In,Completed,Cash,5,1926.72,21.2
197,1639,2,2024-08-12,16,Dine-In,Completed,Wallet,0,-5701.04,313.3
198,455,23,2024-01-11,14,Takeaway,Pending,Credit Card,20,2768.22,40.9
199,691,4,2024-09-12,8,Dine-In,Completed,Credit Card,0,5255.69,74.8
200,6849,24,2024-03-25,22,Online,Completed,Credit Card,20,5671.18,33.9
201,5746,15,2023-11-28,21,Dine-In,Completed,Credit Card,20,2408.43,63.9
202,5946,19,2023-07-28,13,Online,Completed,Cash,15,2542.67,31.3
203,1705,23,2023-11-24,13,Takeaway,Cancelled,Debit Card,0,4657.46,72.9
204,6485,21,2024-10-23,18,Online,Completed,Credit Card,10,3326.02,70.2
205,4699,2,2024-07-16,10,Dine-In,Cancelled,Credit Card,15,2057.01,57.8
206,1380,10,2023-04-12,20,Takeaway,Completed,UPI,0,4490.75,73.9
207,2872,16,2023-01-03,12,Dine-In,Cancelled,UPI,20,491.92,68.8
208,6180,24,2024-07-13,14,Takeaway,Completed,Credit Card,20,4140.39,24.2
209,21,15,2023-03-01,14,Dine-In,Completed,Credit Card,0,1773.52,72.7
210,1928,15,2023-10-31,14,Dine-In,Completed,Credit Card,5,1067.88,47.2
211,3227,2,2023-07-19,14,Dine-In,Cancelled,Cash,0,764.75,12.8
212,5918,18,2023-06-30,21,Takeaway,Completed,Credit Card,0,2786.32,71.7
213,4830,8,2023-01-07,22,Takeaway,Completed,Credit Card,10,5707.73,58.1
214,3551,13,2023-03-06,22,Takeaway,Completed,Debit Card,20,5358.51,22.5
215,1505,18,2024-03-01,20,Dine-In,Completed,Credit Card,0,3687.21,47.7
216,233,16,2024-10-31,14,Online,In Progress,UPI,0,442.46,18.1
217,3090,27,2023-01-06,17,Online,Completed,UPI,20,2524.69,12.9
218,2889,22,2024-12-18,23,Dine-In,Completed,Cash,0,5622.41,74.3
219,2225,9,2024-10-19,21,Dine-In,Completed,Wallet,10,4149.55,21.9
220,4113,3,2023-03-24,20,Online,Completed,Debit Card,0,2290.21,67.4
221,4477,25,2024-04-11,19,Takeaway,Completed,Cash,20,633.03,36.1
222,4298,28,2024-09-13,23,Takeaway,Completed,Credit Card,20,2592.95,22.9
223,1692,19,2024-07-27,14,Dine-In,Completed,Wallet,15,5762.61,61.1
224,1982,13,2024-01-18,19,Online,Completed,Debit Card,0,536.95,54.3
225,5190,6,2024-04-29,17,Dine-In,Completed,Debit Card,20,1869.3,41.7
226,866,21,2023-08-12,11,Online,Completed,UPI,0,5154.24,21.8
227,3112,9,2023-01-10,10,Takeaway,In Progress,Cash,20,3035.65,21.1
228,5663,7,2024-07-31,18,Takeaway,Cancelled,Cash,15,3475.96,57.5
229,5989,4,2024-03-10,12,Dine-In,Completed,Credit Card,0,2079.09,17.4
230,5720,18,2024-11-09,20,Takeaway,Completed,Credit Card,15,397.53,66.3
231,3201,26,2024-04-11,19,Takeaway,Completed,Credit Card,10,5443.78,22.9
232,1615,8,2024-10-04,13,Online,Completed,UPI,10,3170.29,34.8
233,99999,999,2023-04-08,21,Takeaway,Completed,Cash,15,-1517.77,398.9
234,5751,2,2024-04-16,11,Takeaway,Completed,Credit Card,5,2799.59,74.6
235,5631,24,2023-07-26,16,Takeaway,Completed,Wallet,0,649.67,23.6
236,147,9,2024-10-16,17,Online,Cancelled,Credit Card,10,3398.82,22.8
237,5235,24,2023-05-02,23,Dine-In,Completed,Credit Card,5,1191.22,72.9
238,690,2,2024-03-27,11,Online,Completed,Debit Card,10,2605.91,71.2
239,1889,15,2024-02-04,17,Dine-In,Completed,Credit Card,5,5026.73,9.4
240,1405,25,2023-08-15,22,Takeaway,In Progress,Credit Card,20,1738.28,19.5
241,3463,11,2024-12-17,17,Online,Completed,Cash,5,805.95,24.7
242,2067,7,2023-03-19,18,Dine-In,Completed,Debit Card,5,3991.92,36.2
243,3126,22,2023-06-03,20,Dine-In,Completed,Cash,0,1435.95,34.8
244,5587,2,2023-11-24,14,Online,Completed,Wallet,0,3441.01,44.3
245,6538,9,2024-03-07,18,Online,Completed,Debit Card,5,3276.19,54.1
246,3465,5,2024-11-10,21,Dine-In,Completed,Cash,10,2345.44,23.0
247,4202,20,2024-01-11,21,Online,Completed,Credit Card,15,2353.21,31.6
248,1858,18,2024-08-23,18,Online,Completed,Cash,0,5430.18,49.3
249,5214,11,2024-03-16,20,Dine-In,Completed,Debit Card,0,2913.39,37.8
250,4217,14,2024-04-11,12,Takeaway,Completed,Credit Card,0,2791.3,33.2
251,2905,6,2024-10-26,23,Dine-In,Completed,Debit Card,10,1369.82,59.1
252,5001,15,2024-02-21,22,Takeaway,Completed,Debit Card,0,4947.51,70.6
253,2749,8,2024-12-24,17,Takeaway,In Progress,Debit Card,15,674.64,47.6
254,3367,4,2023-11-25,21,Online,Completed,Credit Card,0,4755.93,17.7
255,2496,21,2024-03-10,18,Online,Completed,Credit Card,15,3599.46,32.4
256,1874,4,2023-04-27,20,Dine-In,Completed,Cash,10,3908.17,31.0
257,6820,27,2024-02-23,17,Takeaway,Completed,Cash,0,3655.58,21.5
258,605,26,2023-09-02,19,Takeaway,Completed,Wallet,20,3830.95,47.0
259,4252,3,2024-05-13,17,Takeaway,Pending,UPI,10,3127.77,35.8
260,2414,16,2024-04-28,21,Dine-In,Completed,Wallet,0,2377.21,27.3
261,248,4,2024-07-28,13,Online,Completed,Debit Card,0,1954.94,51.9
262,5383,26,2023-07-18,20,Takeaway,Completed,UPI,15,-755.52,240.3
263,1766,16,2023-11-23,13,Dine-In,Pending,UPI,5,197.19,33.2
264,3016,15,2024-04-17,11,Dine-In,Completed,Debit Card,0,1231.01,35.4
265,4343,12,2023-05-27,21,Dine-In,Pending,Wallet,10,5784.89,13.7
266,4620,19,2023-08-22,23,Dine-In,Completed,UPI,5,5512.0,55.1
267,5204,3,2024-06-29,16,Online,In Progress,Credit Card,0,1162.07,29.5
268,99999,999,2023-05-26,9,Dine-In,Completed,Wallet,0,-4787.1,169.6
269,6766,28,2024-01-06,17,Takeaway,Cancelled,Credit Card,0,1817.25,50.3
270,2786,27,2024-12-02,17,Takeaway,Completed,UPI,10,903.0,73.0
271,5285,24,2024-05-06,17,Dine-In,Completed,Cash,0,2693.63,43.1
272,4519,4,2023-06-29,14,Dine-In,Cancelled,UPI,0,1080.97,69.3
273,1552,9,2024-04-20,20,Dine-In,Completed,Wallet,15,963.48,50.4
274,2655,22,2023-05-18,20,Online,Cancelled,Cash,10,2576.62,32.0
275,4573,7,2023-07-26,15,Online,Pending,Debit Card,0,3504.74,14.3
276,5448,3,2024-11-10,18,Dine-In,Completed,Debit Card,5,-457.28,348.3
277,99999,999,2023-03-14,21,Online,Completed,UPI,0,-2283.4,304.5
278,5766,13,2024-08-11,18,Dine-In,Pending,Wallet,0,776.65,48.6
279,6507,28,2023-12-17,15,Dine-In,Completed,UPI,15,3180.21,59.1
280,4742,10,2024-10-16,14,Takeaway,Completed,Credit Card,5,2117.82,41.6
281,1011,11,2024-02-07,14,Dine-In,Completed,UPI,10,5395.23,46.5
282,4548,23,2023-04-19,13,Takeaway,Completed,Debit Card,10,686.3,18.7
283,4345,26,2023-04-01,13,Takeaway,Completed,Credit Card,0,5736.49,65.3
284,5576,9,2023-02-23,22,Takeaway,Completed,Wallet,5,509.79,62.0
285,5756,11,2024-06-15,20,Online,Cancelled,Credit Card,20,4360.76,30.6
286,2999,11,2024-09-19,18,Takeaway,Cancelled,Wallet,15,-2329.68,195.9
287,2381,3,2023-08-31,22,Takeaway,Completed,Cash,5,2954.42,21.8
288,99999,999,2024-08-12,21,Online,Completed,Credit Card,5,-5877.72,167.1
289,4084,23,2024-03-27,21,Dine-In,Completed,UPI,0,798.36,29.8
290,873,12,2023-04-30,16,Takeaway,Completed,Wallet,15,2025.27,31.3
291,3099,26,2024-11-29,17,Takeaway,Completed,Wallet,0,4386.33,63.2
292,6607,27,2024-07-02,23,Takeaway,In Progress,UPI,15,4450.47,30.5
293,1542,24,2024-07-09,15,Dine-In,Completed,Wallet,20,292.0,67.1
294,5097,5,2023-04-01,18,Online,Cancelled,Cash,5,4174.16,24.3
295,5120,14,2023-11-04,23,Online,Completed,Wallet,5,401.86,8.7
296,1092,23,2024-02-29,21,Dine-In,Cancelled,UPI,10,1025.72,36.2
297,4978,8,2023-10-26,23,Takeaway,Completed,Credit Card,20,1609.86,57.0
298,98,20,2023-08-01,18,Takeaway,Completed,Credit Card,15,5613.66,63.7
299,5869,9,2024-09-10,19,Dine-In,Completed,Credit Card,0,4592.63,57.7
300,4275,13,2023-01-28,18,Online,Completed,Cash,20,4084.1,62.5
301,5734,28,2024-03-22,21,Dine-In,Completed,UPI,5,1932.43,59.2
302,6180,28,2023-11-24,15,Dine-In,Completed,Debit Card,0,2073.65,59.7
303,5173,24,2024-11-07,9,Dine-In,Completed,UPI,0,1275.2,12.8
304,413,10,2023-08-10,20,Online,In Progress,Cash,15,,42.5
305,6269,14,2023-04-15,20,Dine-In,Completed,Debit Card,0,3260.13,47.8
306,4574,15,2024-12-16,14,Dine-In,Completed,UPI,0,1418.98,30.6
307,2382,9,2024-04-16,16,Online,Completed,UPI,20,896.9,43.4
308,4783,15,2023-02-05,20,Dine-In,Completed,Cash,5,5222.35,21.6
309,5354,5,2024-07-26,18,Dine-In,Completed,Credit Card,5,1112.0,69.4
310,2814,24,2024-12-01,16,Takeaway,Completed,Wallet,0,4662.31,64.6
311,5976,24,2023-01-06,21,Online,Completed,UPI,15,2358.1,42.7
312,1633,25,2023-08-09,19,Dine-In,Cancelled,Cash,15,644.27,65.8
313,1432,23,2023-10-01,22,Online,Completed,UPI,0,1552.21,42.5
314,6235,9,2023-08-01,20,Takeaway,Completed,UPI,0,-4181.08,150.5
315,5250,20,2024-01-05,22,Takeaway,Completed,UPI,15,2438.4,24.6
316,124,27,2023-01-25,9,Online,Completed,Cash,0,2541.57,35.6
317,5106,14,2023-07-03,10,Dine-In,Completed,Wallet,0,4586.02,17.0
318,601,25,2023-10-27,20,Online,Completed,Wallet,5,2391.59,17.5
319,1599,9,2023-08-14,18,Dine-In,Completed,Credit Card,5,5921.74,59.1
320,6027,7,2024-02-22,23,Online,In Progress,Wallet,0,5655.48,67.3
321,99999,999,2023-11-21,11,Dine-In,Completed,UPI,15,-5084.97,230.0
322,6999,18,2024-02-11,17,Online,Completed,Cash,0,5798.66,44.6
323,2607,3,2023-10-14,20,Takeaway,Completed,Cash,15,1229.43,29.1
324,1029,22,2024-10-29,22,Takeaway,Completed,Cash,0,4502.81,37.7
325,3839,3,2024-10-05,22,Dine-In,Completed,Cash,0,495.28,14.6
326,4424,28,2023-07-14,17,Dine-In,Pending,Cash,10,3493.99,68.8
327,4840,2,2023-01-31,18,Online,Completed,Wallet,5,4908.86,12.9
328,586,20,2024-05-26,19,Takeaway,Completed,UPI,5,,75.0
329,6804,26,2024-06-24,23,Online,Completed,UPI,0,1852.77,11.9
330,6079,7,2023-07-14,20,Takeaway,Completed,Wallet,5,3534.22,33.9
331,5504,15,2024-07-26,8,Online,Completed,UPI,5,3544.23,23.9
332,2470,27,2024-01-07,21,Takeaway,Completed,Cash,10,685.87,34.6
333,4824,13,2024-03-21,22,Takeaway,Pending,Debit Card,15,2776.62,67.2
334,5338,3,2024-04-08,23,Takeaway,Completed,Cash,0,4603.73,40.1
335,1152,20,2023-05-21,20,Dine-In,Completed,Credit Card,5,436.7,69.8
336,1352,22,2024-09-20,12,Dine-In,Completed,Cash,5,927.75,34.3
337,6216,23,2024-01-20,20,Takeaway,Completed,UPI,10,3392.55,17.4
338,30,15,2024-03-15,11,Dine-In,Completed,Cash,10,162.54,69.0
339,846,10,2023-03-22,19,Online,Completed,UPI,20,4587.63,35.2
