consumption_id,ingredient_id,branch_id,date,quantity_used,wastage_quantity,stock_available
71,16,19,2023-05-31,52.54,2.84,349.13
72,112,7,2023-10-21,42.13,0.73,302.01
73,30,28,2023-11-20,56.88,0.93,225.49
74,155,24,2024-11-02,19.92,0.9,122.64
75,123,28,2023-09-06,29.42,0.55,205.91
76,145,8,2024-11-10,93.49,6.84,456.43
77,127,4,2023-02-04,10.92,0.88,64.51
78,17,24,2024-06-04,10.52,0.12,455.67
79,153,26,2023-05-30,8.52,0.67,7.46
80,60,5,2024-06-30,6.16,0.4,56.87
81,9999,888,2023-01-22,-17.06,1.17,-466.74
82,19,22,2023-04-25,59.92,5.47,357.21
83,53,22,2024-08-29,43.18,3.94,339.22
84,107,13,2023-03-09,73.44,2.7,226.47
85,150,2,2024-07-28,84.16,0.8,88.73
86,135,23,2023-08-17,73.82,5.86,12.91
87,14,7,2023-07-10,78.93,4.8,307.97
88,64,1,2023-03-25,55.49,3.63,83.3
89,65,21,2024-05-06,27.8,0.45,329.97
90,77,7,2024-07-03,28.32,2.13,78.72
91,41,10,2024-02-26,41.5,1.3,487.82
92,97,16,2024-09-07,10.52,0.29,271.96
93,63,26,2024-03-23,45.96,1.03,490.12
94,159,2,2024-06-03,22.09,1.86,439.36
95,76,20,2023-04-29,19.85,0.72,265.06
96,146,25,2023-08-22,63.04,3.82,436.5
97,15,25,2024-04-26,92.87,1.49,312.32
98,8,9,2024-11-23,45.15,4.16,336.46
99,39,21,2024-05-05,28.08,2.66,150.92
100,47,19,2023-10-07,1.76,0.0,7.28
101,83,9,2024-05-04,49.61,0.2,350.54
102,9,24,2023-06-17,31.38,0.69,102.56
103,149,16,2023-11-18,69.41,4.93,128.38
104,97,14,2024-11-18,58.2,3.47,267.15
105,146,4,2024-05-23,64.97,2.49,469.8
106,148,6,2024-09-10,49.98,0.03,444.68
107,97,20,2024-09-16,50.75,1.2,485.51
108,22,11,2023-10-15,82.24,7.12,473.75
109,110,6,2024-03-17,80.66,5.29,223.19
110,113,10,2024-04-29,15.31,1.09,326.2
111,1,26,2024-07-09,5.6,0.34,372.33
112,125,15,2023-07-17,21.65,1.69,240.31
113,160,5,2023-07-08,74.7,1.45,44.98
114,118,14,2024-06-20,19.75,1.12,87.44
115,75,19,2023-11-10,63.36,5.27,357.1
116,145,15,2024-11-17,1.57,0.11,137.36
117,31,14,2024-04-23,46.77,2.91,427.84
118,62,10,2023-05-10,82.93,2.91,284.58
119,41,8,2023-03-16,63.39,1.83,477.03
120,108,5,2024-12-25,15.76,0.06,66.4
121,134,16,2024-01-15,11.96,0.31,14.85
122,104,5,2023-01-03,88.83,0.2,371.7
123,21,15,2024-12-22,83.25,1.12,407.92
124,103,13,2024-04-06,3.41,0.32,350.57
125,97,14,2023-08-24,20.17,1.86,412.57
126,29,16,2023-04-09,65.68,1.46,200.83
127,139,25,2024-08-19,88.81,5.53,5.17
128,83,21,2023-07-15,42.03,2.16,308.21
129,26,3,2024-04-12,75.74,3.16,8.41
130,67,20,2023-08-21,51.5,4.07,365.19
131,89,3,2024-05-20,31.78,0.13,363.61
132,41,2,2024-07-21,44.17,2.74,257.02
133,151,12,2024-09-30,56.18,2.62,126.08
134,81,24,2023-01-01,70.99,3.03,385.76
135,11,4,2024-12-10,51.65,0.15,87.06
136,144,4,2024-11-22,42.05,0.47,123.98
137,95,18,2023-07-31,48.14,3.95,354.87
138,78,22,2024-04-11,31.01,,253.31
139,149,15,2024-03-30,86.83,,289.33
140,81,10,2024-08-13,34.12,0.08,133.79
141,89,27,2023-03-09,67.85,2.86,217.88
142,60,22,2024-05-23,36.73,0.93,7.38
143,26,10,2024-09-22,64.87,2.33,465.84
144,11,8,2024-12-15,99.91,3.11,277.57
145,42,21,2024-07-16,8.41,0.05,365.89
146,53,12,2024-05-30,0.92,0.08,228.48
147,52,26,2024-05-04,31.14,2.39,421.85
148,124,4,2024-10-29,76.79,5.87,367.22
149,52,27,2023-05-19,54.7,2.0,213.72
150,126,2,2024-03-14,81.85,3.11,460.36
151,88,19,2023-05-24,65.21,2.32,97.99
152,19,20,2024-07-12,60.26,3.25,147.13
153,138,6,2024-11-25,42.16,0.1,205.25
154,67,3,2023-05-15,49.65,3.06,174.05
155,84,22,2023-10-10,24.23,1.84,303.53
156,135,27,2023-01-20,53.45,4.07,286.64
157,50,10,2023-07-29,54.33,1.11,462.54
158,71,26,2024-08-10,20.13,1.18,304.53
159,159,25,2024-04-21,94.85,7.09,272.35
160,8,24,2024-08-31,41.95,3.94,239.19
161,45,27,2024-12-25,70.9,,494.79
162,70,16,2023-10-30,37.89,0.76,376.3
163,122,1,2023-08-15,58.44,5.8,401.72
164,94,21,2024-06-02,76.24,6.97,489.52
165,18,12,2023-09-02,58.03,4.97,367.36
166,90,19,2023-03-26,45.75,2.08,311.28
167,152,13,2024-08-02,48.73,0.56,130.26
168,76,25,2023-02-16,21.13,0.01,250.22
169,29,27,2024-04-25,9.75,,462.21
170,150,28,2024-09-17,17.87,0.38,369.04
171,157,20,2024-10-10,52.14,2.81,376.78
172,30,25,2024-08-11,58.58,1.81,420.54
173,109,5,2024-12-17,17.04,0.22,310.97
174,61,21,2024-07-03,63.76,,85.48
175,41,8,2023-04-07,31.36,0.22,184.82
176,37,20,2024-10-16,8.52,0.22,321.35
177,104,10,2023-06-17,96.91,3.09,417.22
178,145,14,2024-10-06,47.53,4.28,53.92
179,147,25,2023-09-13,7.58,0.44,132.35
180,82,16,2023-04-13,91.28,5.76,239.12
181,145,27,2023-06-04,27.01,0.44,276.44
182,86,5,2024-03-07,84.0,2.67,111.02
183,33,15,2024-05-17,87.84,1.03,435.85
184,15,27,2023-03-11,68.75,0.78,279.03
185,96,27,2024-03-01,87.15,3.6,86.0
186,31,18,2023-06-17,71.86,1.34,489.86
187,127,15,2024-12-10,77.68,0.87,215.7
188,89,4,2023-11-27,57.46,5.73,244.57
189,109,24,2023-06-18,38.05,3.75,492.7
190,81,24,2024-06-12,86.09,4.49,419.63
191,124,5,2024-08-07,3.13,,84.78
192,1,26,2024-05-24,19.89,1.76,246.6
193,157,7,2023-09-04,98.78,9.34,259.9
194,52,20,2024-09-28,37.04,3.34,394.84
195,137,16,2024-06-05,38.22,2.97,76.51
196,77,20,2024-11-11,67.05,3.08,421.84
197,160,14,2024-05-17,44.66,0.38,20.44
198,89,8,2024-10-19,64.26,1.36,6.66
199,105,27,2024-12-13,46.38,4.25,72.77
200,108,18,2023-08-08,32.72,1.12,484.22
201,27,2,2024-07-13,36.87,1.35,360.96
202,59,21,2023-01-27,23.75,0.39,482.12
203,111,23,2023-11-17,14.65,0.13,184.47
204,140,25,2023-11-03,28.33,0.47,33.78
205,113,16,2024-03-13,43.47,3.66,429.58
206,12,13,2024-09-13,26.08,1.82,260.71
207,79,23,2023-11-16,63.15,3.38,451.79
208,71,16,2023-01-03,42.87,2.09,269.84
209,107,6,2023-03-28,23.53,2.04,402.93
210,128,10,2023-08-21,44.65,0.07,373.67
211,93,26,2023-05-04,13.15,0.78,375.37
212,48,13,2024-07-25,99.42,8.09,244.32
213,143,24,2023-08-09,1.09,0.01,247.11
214,21,9,2023-02-21,32.47,1.22,329.68
215,20,16,2023-11-29,25.06,1.75,284.06
216,51,27,2024-08-17,52.11,4.55,31.94
217,98,27,2024-05-05,68.64,2.31,217.06
218,27,5,2023-06-24,87.18,6.7,1.37
219,140,19,2024-01-20,95.04,3.26,367.17
220,153,4,2024-11-28,46.87,0.33,42.59
221,135,26,2023-12-22,18.18,,120.87
222,149,13,2024-01-16,85.58,4.7,117.95
223,16,22,2024-06-20,27.59,1.44,406.91
224,34,21,2023-03-19,8.36,0.8,110.26
225,62,23,2023-01-19,48.29,0.09,414.85
226,40,27,2023-08-17,16.18,0.54,391.41
227,19,1,2023-10-24,85.92,5.72,73.08
228,52,15,2024-06-06,32.78,0.19,88.83
229,136,11,2024-10-02,5.12,0.36,67.14
230,96,15,2023-11-04,48.66,1.56,364.71
231,87,6,2024-07-03,67.29,4.71,144.28
232,16,26,2024-09-24,40.52,,206.26
233,78,16,2023-05-29,40.21,0.96,408.04
234,79,10,2024-01-03,20.49,1.6,380.84
235,26,25,2023-02-01,83.43,6.2,386.86
236,128,20,2023-03-30,95.55,5.14,45.3
237,74,1,2024-07-10,42.13,4.14,185.76
238,2,13,2024-04-07,33.53,1.67,199.33
239,138,4,2023-06-17,68.02,1.24,471.32
240,63,20,2024-05-28,69.57,3.07,390.11
241,121,25,2024-02-29,27.06,0.36,250.81
242,50,27,2023-10-13,98.13,3.0,385.99
243,145,14,2023-08-13,75.68,6.44,281.77
244,16,23,2024-02-11,49.79,0.54,134.67
245,130,5,2024-04-05,21.9,0.1,93.78
246,91,27,2024-09-03,70.35,3.66,32.29
247,102,8,2024-01-27,10.43,0.13,364.44
248,12,22,2023-03-31,20.42,1.39,173.99
249,76,4,2024-05-23,4.93,0.34,431.88
250,37,18,2024-03-23,82.1,1.25,304.51
251,22,9,2023-06-22,29.71,2.76,480.36
252,148,11,2023-04-26,22.07,0.27,354.72
253,18,7,2024-04-20,24.75,0.14,303.7
254,95,12,2024-03-31,31.6,2.48,28.25
255,51,6,2023-09-20,37.44,0.1,131.67
256,113,3,2023-03-31,6.32,0.14,88.55
257,86,15,2024-01-16,90.44,0.41,435.47
258,96,22,2024-12-14,96.39,9.4,6.85
259,34,1,2023-09-05,21.22,0.31,209.0
260,109,25,2023-11-29,52.2,1.63,192.78
261,78,13,2023-12-10,44.1,4.21,105.37
262,91,6,2024-06-10,21.1,0.62,306.15
263,112,26,2023-12-19,12.19,0.1,47.89
264,22,25,2024-05-15,79.63,1.3,286.54
265,143,8,2024-08-28,67.18,0.49,211.73
266,115,17,2023-06-10,63.69,2.99,293.63
267,108,14,2024-10-18,88.0,2.82,425.66
268,144,24,2023-06-28,25.17,1.8,422.34
269,138,26,2024-09-19,37.19,2.96,120.8
270,51,9,2024-02-08,5.64,0.25,338.64
271,88,14,2024-08-20,36.7,3.37,232.29
272,1,9,2024-08-17,26.38,2.4,384.26
273,133,18,2024-06-05,63.44,2.1,293.7
274,159,20,2024-10-03,25.41,0.46,434.31
275,128,3,2024-07-13,16.11,1.53,479.87
276,121,15,2024-08-26,60.35,2.47,78.7
277,126,24,2023-12-16,33.74,1.81,229.45
278,2,11,2023-09-17,97.25,5.6,419.35
279,108,9,2023-03-20,64.71,2.45,459.2
280,52,22,2024-10-04,98.16,7.38,458.07
281,143,3,2024-10-18,75.61,5.0,54.13
282,90,17,2024-01-04,83.52,6.4,19.64
283,100,23,2024-05-13,41.65,3.05,453.77
284,78,20,2023-01-26,25.02,0.33,139.81
285,29,9,2023-05-22,44.42,0.33,386.14
286,145,25,2024-01-30,26.28,2.27,187.25
287,152,14,2023-09-05,9.05,0.3,266.42
288,110,23,2023-02-20,14.48,0.03,3.25
289,62,7,2024-03-20,70.06,5.04,10.35
290,84,24,2024-04-07,77.62,3.69,440.38
291,65,2,2023-05-16,46.04,3.52,108.18
292,114,16,2023-10-05,47.63,4.67,431.09
293,77,9,2024-01-20,67.41,0.27,355.52
294,150,14,2024-08-14,78.68,7.6,82.4
295,80,11,2024-06-21,33.62,1.42,415.28
296,140,10,2023-03-03,94.45,6.53,268.42
297,114,11,2024-03-25,8.69,0.11,295.25
298,54,24,2023-03-16,22.3,0.02,13.0
299,76,23,2023-10-04,8.58,0.83,119.02
300,118,27,2024-06-15,-1.28,0.05,-496.43
301,109,12,2024-09-20,36.32,3.44,399.82
302,148,27,2024-11-22,9.35,0.3,403.03
303,78,20,2024-09-18,28.21,1.51,208.24
304,77,27,2023-03-14,95.71,7.48,56.33
305,53,23,2024-01-01,76.47,1.04,164.75
306,7,23,2023-01-15,2.76,0.06,293.18
307,15,12,2024-05-22,91.32,4.7,185.87
308,68,10,2024-11-28,67.52,4.15,138.51
309,48,27,2024-10-04,51.99,3.11,318.32
310,74,12,2023-10-22,67.7,0.11,274.54
311,6,25,2024-01-12,48.0,4.25,344.76
312,118,24,2023-07-07,14.42,1.4,408.34
313,75,5,2024-04-21,72.25,5.53,231.43
314,75,19,2023-09-24,49.82,4.55,160.04
315,88,21,2023-05-31,30.99,2.58,349.33
316,123,11,2024-04-22,26.85,1.63,164.48
317,134,4,2023-01-20,11.34,0.63,352.12
318,59,21,2023-05-01,38.14,1.92,96.75
319,90,10,2023-12-10,90.19,1.1,346.47
320,111,14,2024-11-07,40.22,0.12,299.37
321,150,1,2024-04-07,13.82,1.33,208.79
322,101,10,2024-02-11,12.64,0.7,409.88
323,124,10,2023-11-03,36.26,2.28,486.77
324,12,1,2024-12-14,1.07,0.09,295.01
325,4,17,2024-06-08,70.74,6.36,139.86
326,39,26,2024-09-17,11.48,0.36,187.23
327,22,12,2023-10-27,23.32,1.8,438.85
328,123,3,2024-06-28,21.63,1.09,70.37
329,145,13,2024-06-17,92.34,2.39,220.89
330,20,10,2024-02-09,20.39,1.92,48.95
331,17,28,2023-09-22,65.51,3.41,397.43
332,12,1,2023-08-12,10.01,0.63,416.76
333,53,1,2023-07-04,-94.29,4.63,-119.9
334,99,7,2024-03-30,93.61,7.84,450.05
335,15,16,2024-02-12,44.97,3.83,394.01
336,109,25,2023-11-30,10.54,0.94,281.71
337,41,4,2023-03-16,47.25,2.67,180.5
338,109,10,2023-03-13,28.27,0.4,372.7
339,45,1,2024-02-13,6.52,0.05,27.03
340,10,17,2024-10-05,34.06,0.07,414.32
341,11,26,2023-07-19,39.69,1.16,299.48
342,103,2,2024-02-22,31.74,0.38,84.57
343,102,6,2024-03-24,87.53,8.74,444.34
344,98,26,2023-08-19,28.58,0.17,433.45
345,32,7,2023-07-05,49.76,3.92,21.69
346,143,17,2023-08-08,96.74,9.26,344.82
347,88,15,2023-07-31,42.16,1.29,185.94
348,57,15,2023-08-26,71.51,0.49,189.02
349,152,4,2024-10-16,38.94,0.59,288.57
350,61,27,2024-06-15,97.09,0.82,219.69
351,17,2,2023-05-06,68.46,6.12,95.9
352,119,21,2023-06-28,44.66,1.57,183.68
353,53,26,2023-11-14,59.42,0.16,394.73
354,135,1,2024-03-16,80.53,3.82,128.49
355,128,17,2023-11-20,59.26,2.52,167.33
356,65,22,2024-07-29,70.1,1.49,296.78
357,68,12,2024-01-10,20.75,1.3,197.16
358,136,20,2024-07-31,91.1,0.01,274.8
359,136,27,2023-04-07,38.17,0.99,36.1
360,13,1,2024-01-06,7.11,0.12,425.97
361,78,3,2024-06-15,53.25,3.77,279.09
362,105,28,2024-03-13,81.57,1.07,317.2
363,56,17,2023-08-02,44.98,1.57,252.4
364,47,23,2024-02-14,85.23,1.97,62.47
365,17,15,2023-02-14,10.93,0.55,111.14
366,71,24,2023-12-15,46.89,1.31,246.04
367,108,15,2023-09-01,4.82,0.02,126.5
368,73,22,2024-05-18,16.07,0.65,300.95
369,82,11,2023-01-26,5.32,0.04,272.01
370,8,14,2023-07-22,16.15,1.33,107.5
371,149,13,2023-06-23,60.05,5.6,328.46
372,21,12,2024-03-31,34.71,2.63,312.29
373,142,7,2023-06-21,95.34,0.65,310.01
374,36,18,2024-11-29,51.89,1.98,170.97
375,122,8,2023-09-17,87.69,6.7,287.62
376,158,19,2024-03-29,41.3,2.9,446.12
377,111,11,2024-05-02,54.53,4.25,307.4
378,151,28,2023-02-17,24.98,2.27,126.05
379,72,21,2023-04-28,38.86,2.87,274.62
380,26,2,2024-03-01,15.73,1.34,452.83
381,61,2,2024-01-29,72.43,2.02,443.93
382,91,8,2023-06-16,33.96,2.57,61.25
383,70,3,2024-02-06,48.46,3.87,300.21
384,108,2,2023-01-05,81.59,5.86,452.35
385,78,25,2024-03-27,42.33,2.42,408.16
386,131,12,2023-04-17,63.76,5.41,210.23
387,90,10,2024-07-29,99.41,9.07,161.92
388,29,4,2023-04-24,51.94,5.08,476.36
389,43,28,2023-06-22,79.31,1.18,41.39
390,73,1,2023-04-27,38.52,1.42,50.73
391,9999,888,2023-05-20,-18.15,0.77,-460.07
392,19,17,2024-04-24,19.13,1.6,264.48
393,76,18,2024-05-19,85.68,6.34,61.07
394,55,9,2023-05-01,1.25,0.06,242.78
395,9999,888,2023-07-25,-60.63,5.97,-392.01
396,20,5,2024-09-19,31.97,1.02,363.85
397,105,19,2024-02-25,42.65,3.73,104.27
398,128,3,2024-05-15,60.27,4.01,86.74
399,24,10,2023-10-12,47.81,2.62,3.56
400,36,18,2024-08-27,50.88,2.65,40.29
401,92,27,2024-03-14,30.29,1.11,101.33
402,17,15,2024-10-03,1.42,0.03,193.62
403,106,9,2023-02-27,53.79,3.41,179.74
404,56,7,2023-04-22,67.48,4.55,83.52
405,50,10,2023-09-20,93.07,4.66,177.97
406,69,14,2023-04-07,90.8,3.67,36.26
407,148,24,2024-10-10,83.82,6.26,467.38
408,38,6,2024-08-15,0.88,0.05,479.34
409,40,28,2024-08-18,73.33,1.34,327.88
410,90,15,2023-02-22,24.31,0.96,120.76
411,62,26,2023-08-22,52.0,0.43,460.5
412,57,21,2024-11-13,32.21,0.3,371.41
413,147,22,2023-05-25,38.6,0.62,249.39
414,97,7,2024-02-29,16.49,0.9,33.5
415,132,4,2024-03-13,74.47,1.44,311.65
416,118,14,2024-01-01,38.33,2.31,367.34
417,128,26,2024-03-20,38.81,3.84,157.05
418,126,2,2023-04-01,92.06,7.96,376.33
419,51,14,2024-10-08,81.11,0.46,263.95
420,49,27,2023-05-07,37.46,0.12,196.71
421,59,11,2023-10-03,73.0,5.07,180.7
422,124,17,2024-05-30,11.16,0.36,136.56
423,79,7,2024-11-28,73.84,1.79,70.03
424,11,8,2023-06-20,25.66,1.26,208.2
425,30,11,2023-07-14,26.38,0.76,260.46
426,73,3,2023-08-12,4.87,0.02,25.84
427,4,23,2023-06-28,18.67,0.86,213.59
428,125,1,2023-04-10,75.99,3.23,269.74
429,64,1,2023-04-11,96.98,5.46,472.22
430,98,20,2023-04-28,93.22,1.08,425.93
431,20,24,2023-06-16,66.82,5.78,388.05
432,112,16,2023-02-17,43.41,3.69,448.0
433,54,19,2023-11-24,19.14,,255.57
434,126,6,2024-05-22,74.35,5.0,491.71
435,15,8,2024-03-09,32.5,3.09,495.96
436,135,28,2023-07-17,33.05,1.25,223.77
437,76,27,2024-09-24,24.05,2.37,212.38
438,52,6,2023-06-18,36.58,1.95,25.35
439,77,18,2024-12-09,30.6,2.64,150.46
440,97,18,2024-03-14,18.99,0.53,58.32
441,150,4,2023-01-01,56.37,2.03,439.72
442,77,3,2024-06-10,10.56,0.88,286.67
443,1,4,2024-01-10,76.32,5.5,455.74
444,4,15,2023-08-15,38.32,2.52,66.31
445,98,24,2023-04-26,19.56,0.11,201.47
446,41,5,2024-06-06,10.3,0.91,35.28
447,1,2,2023-01-17,98.05,8.66,284.75
448,107,18,2024-04-08,80.78,3.3,363.3
449,53,22,2023-02-25,61.94,4.73,12.47
450,125,23,2024-07-03,75.19,1.12,288.18
451,9,10,2024-09-05,58.77,2.31,22.25
452,15,3,2024-04-14,75.53,2.94,50.96
453,66,25,2024-03-17,14.06,0.39,18.88
454,61,1,2023-08-31,7.22,0.19,434.0
455,15,2,2024-07-05,5.55,0.36,306.8
456,138,1,2024-08-31,83.7,4.31,365.41
457,80,3,2024-05-29,25.74,0.27,412.2
458,50,14,2023-12-12,50.29,1.58,240.49
459,57,16,2024-11-14,9.74,0.8,443.36
460,22,1,2024-06-13,37.34,1.64,293.24
461,121,28,2024-01-15,11.35,0.06,376.95
462,27,4,2023-12-10,80.32,1.35,354.63
463,36,17,2023-05-18,32.03,,357.62
464,14,3,2024-06-24,86.73,5.96,307.59
465,13,27,2024-10-25,67.23,0.56,265.01
466,32,10,2024-03-23,36.19,3.4,376.82
467,14,7,2023-12-11,4.04,0.04,345.02
468,133,5,2024-06-05,79.45,0.05,65.57
469,22,2,2024-03-31,77.96,3.96,420.15
470,109,21,2023-09-19,73.89,4.37,453.66
471,61,1,2023-07-12,33.66,0.6,277.22
472,83,21,2024-09-29,93.32,8.58,25.38
473,55,4,2024-06-26,33.63,2.91,26.57
474,120,20,2024-01-14,90.33,8.71,262.49
475,105,26,2024-03-29,13.17,0.8,31.55
476,144,17,2024-02-08,64.23,5.67,331.8
477,147,5,2023-06-07,17.87,0.71,379.51
478,36,25,2024-01-28,65.17,3.23,379.45
479,8,25,2023-08-23,42.57,1.4,89.62
480,120,19,2024-11-12,51.95,5.14,107.72
481,83,20,2024-04-25,54.58,4.73,220.08
482,40,9,2024-07-10,30.05,2.79,117.61
483,4,9,2024-06-16,40.71,1.43,475.77
484,109,18,2023-01-26,27.98,0.9,401.97
485,80,5,2024-04-14,76.65,5.93,423.76
486,85,12,2024-06-30,31.63,1.53,56.54
487,102,17,2023-10-03,47.32,0.58,397.08
488,88,20,2024-04-05,72.13,2.67,83.55
489,155,24,2023-09-02,86.83,2.85,5.68
490,133,17,2024-07-25,32.72,1.74,393.28
491,80,19,2024-03-01,44.82,3.23,310.35
492,78,16,2024-08-02,99.8,7.04,282.27
493,18,20,2023-10-28,68.19,3.67,188.81
494,153,25,2023-09-24,66.5,6.45,465.27
495,45,14,2024-09-01,9.12,0.07,136.13
496,65,13,2023-10-16,62.77,3.72,369.3
497,91,17,2024-04-12,86.94,5.31,427.62
498,33,15,2024-04-29,76.07,6.15,418.62
499,157,2,2023-03-18,87.83,4.1,386.43
500,9999,888,2024-03-05,-87.59,5.6,-243.65
501,113,5,2023-09-22,77.43,2.94,68.95
502,43,27,2023-11-25,74.76,6.04,499.67
503,62,27,2023-06-26,49.32,1.26,331.11
504,65,16,2023-05-20,88.02,4.0,430.58
505,78,24,2024-04-04,31.91,2.91,389.35
506,70,18,2024-02-03,-55.38,3.39,-117.44
507,12,8,2024-06-26,71.32,2.39,206.17
508,9999,888,2023-07-17,-24.46,1.05,-270.49
509,9999,888,2023-12-06,-99.72,8.97,-430.96
510,25,25,2023-10-28,8.24,0.13,229.45
511,24,16,2023-03-04,39.51,2.31,460.85
512,145,1,2023-06-25,84.37,2.98,376.42
513,88,22,2024-09-26,7.13,0.27,80.41
514,77,5,2023-01-09,11.6,0.99,254.48
515,114,27,2023-09-16,2.31,0.04,437.21
516,88,8,2024-08-10,74.25,,284.69
517,120,22,2024-01-30,83.01,3.62,299.55
518,22,17,2024-12-03,48.29,1.58,118.01
519,19,28,2024-01-18,21.69,1.74,378.78
520,64,14,2023-12-04,23.22,0.45,413.79
521,57,3,2024-02-08,12.88,0.55,224.86
522,23,12,2024-09-15,3.52,0.04,311.81
523,111,6,2024-12-03,91.68,0.55,207.99
524,46,5,2024-01-20,4.31,0.02,183.46
525,121,2,2024-05-13,1.13,0.1,347.5
526,87,13,2023-05-26,23.55,1.43,382.59
527,63,16,2024-04-29,73.43,4.67,265.15
528,104,17,2023-12-26,59.39,4.13,36.57
529,115,25,2023-12-13,70.5,2.72,484.53
530,44,15,2023-11-03,4.52,0.34,199.3
531,123,16,2024-10-09,58.3,3.25,271.81
532,159,18,2024-01-21,37.65,0.83,278.23
533,77,8,2023-03-18,84.73,1.96,423.83
534,27,26,2023-06-30,4.42,0.28,380.41
535,106,4,2023-04-12,41.31,3.08,74.43
536,9999,888,2023-01-15,-75.18,6.51,-272.12
537,39,9,2024-09-29,63.9,,80.98
538,2,26,2023-09-25,83.9,,481.8
539,17,2,2024-04-15,68.81,3.88,15.26
540,45,9,2024-07-13,80.81,4.96,275.48
541,65,22,2023-06-13,97.22,2.01,19.92
542,9999,888,2024-12-15,-22.75,1.82,-336.58
543,16,1,2024-05-10,5.5,0.55,443.17
544,2,9,2023-03-12,69.31,3.91,297.41
545,23,1,2023-12-17,40.28,1.4,119.45
546,146,14,2024-12-31,13.05,0.23,88.11
547,98,12,2023-08-13,29.14,0.69,126.5
548,85,15,2024-09-26,75.82,1.41,233.84
549,128,1,2024-01-28,39.7,0.66,250.2
550,41,18,2023-09-03,54.34,4.66,263.52
551,43,28,2024-06-24,63.87,3.23,233.1
552,112,27,2024-04-14,14.92,0.4,170.57
553,119,3,2023-01-15,7.94,0.02,423.65
554,66,20,2024-05-06,56.08,1.01,197.42
555,92,20,2024-08-08,28.49,2.04,86.92
556,80,19,2023-05-23,82.19,7.81,400.8
